,total_singscore,p_value
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Regulation of ERK1 and ERK2 Cascade (GO:0070372),0.04345273320657006,0.0160983901609839
Fatty Acid Metabolism,0.04657377927872641,0.019198080191980802
Response to Lipopolysaccharide (GO:0032496),0.0468045078934185,0.029997000299970003
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Positive Regulation of Cytokine Production (GO:0001819),0.04906765196841534,0.0025997400259974
Positive Regulation of Epithelial Cell Proliferation (GO:0050679),0.04925083657720419,0.041495850414958506
Positive Regulation of Multicellular Organismal Process (GO:0051240),0.04972858118323242,0.0004999500049995
Nervous System Development (GO:0007399),0.05021780831585099,0.00019998000199980003
Natural killer cell mediated cytotoxicity,0.0521808206775386,0.0420957904209579
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
Sphingolipid Biosynthetic Process (GO:0030148),0.05527586771447279,0.047495250474952504
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.058970937200671925,0.04839516048395161
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Generation of Neurons (GO:0048699),0.062415640667673244,0.003999600039996
Regulation of MAP Kinase Activity (GO:0043405),0.06248913421418634,0.0415958404159584
Regulation of Wnt Signaling Pathway (GO:0030111),0.06275501843506759,0.014498550144985502
Intracellular Monoatomic Cation Homeostasis (GO:0030003),0.06275859950637985,0.0015998400159984002
Cholinergic synapse,0.06300058752840687,0.013498650134986502
Axon Guidance (GO:0007411),0.06324343504147079,0.004299570042995701
Proteolysis (GO:0006508),0.06339067725448122,0.00029997000299970003
cAMP signaling pathway,0.06421766062053835,0.0008999100089991
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Regulation of Epithelial Cell Proliferation (GO:0050678),0.06640464506735333,0.017998200179982
Sphingolipid Metabolic Process (GO:0006665),0.06683537359589087,0.024997500249975
Gastric cancer,0.0669571076846579,0.0037996200379962005
Positive Regulation of Cell Adhesion (GO:0045785),0.06718714703077555,0.0182981701829817
Breast cancer,0.06730990092762035,0.0040995900409959
Th1 and Th2 cell differentiation,0.06867519080463447,0.0156984301569843
Transport of Small Molecules,0.06987792347855237,9.999000099990002e-05
Neuron Projection Guidance (GO:0097485),0.07140107533913986,0.0027997200279972004
Positive Regulation of Signal Transduction (GO:0009967),0.07244104641633109,0.00029997000299970003
Coagulation,0.07381066868270236,0.0020997900209979003
Regulation of Mitotic Nuclear Division (GO:0007088),0.07447225070293195,0.03189681031896811
Axonogenesis (GO:0007409),0.07460743595677033,0.00019998000199980003
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Positive Regulation of T Cell Activation (GO:0050870),0.07533264001979623,0.0036996300369963003
Positive Regulation of Cytokine-Mediated Signaling Pathway (GO:0001961),0.07534258293800566,0.0423957604239576
Cellular Response to Cytokine Stimulus (GO:0071345),0.07656277836888947,9.999000099990002e-05
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
Hemostasis,0.07726984176978247,9.999000099990002e-05
Hemopoiesis (GO:0030097),0.07742846442198048,0.0029997000299970002
Interleukin-2 Family Signaling,0.07787310094458111,0.049295070492950704
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.0786189516776884,0.0027997200279972004
Extracellular Matrix Organization,0.07896108195093332,9.999000099990002e-05
Non-Canonical Wnt Signaling Pathway (GO:0035567),0.0805537392725787,0.039896010398960104
B Cell Differentiation (GO:0030183),0.08067360871825124,0.025197480251974803
Osteoclast differentiation,0.08178906194193913,0.0007999200079992001
Lymphocyte Differentiation (GO:0030098),0.08190235106251131,0.0091990800919908
Protein Polymerization (GO:0051258),0.08196093009423622,0.018598140185981403
Cytosolic DNA-sensing pathway,0.08220958143283474,0.0230976902309769
Cellular Response to Metal Ion (GO:0071248),0.08339797834599705,0.0013998600139986002
Peptidyl-Tyrosine Phosphorylation (GO:0018108),0.08393858850207248,0.0168983101689831
Nitrogen Compound Transport (GO:0071705),0.08424381295488104,0.00019998000199980003
Regulation of Cell Motility (GO:2000145),0.08469478346552717,0.0010998900109989002
Peptidyl-Tyrosine Modification (GO:0018212),0.08473828825760155,0.024297570242975703
Plasma Membrane Bounded Cell Projection Organization (GO:0120036),0.08518449022343,0.00029997000299970003
Positive Regulation of Transport (GO:0051050),0.08559838142728682,0.023697630236976304
Degradation of the Extracellular Matrix,0.0863145376255895,0.0004999500049995
Supramolecular Fiber Organization (GO:0097435),0.0864722976881045,9.999000099990002e-05
Neutrophil extracellular trap formation,0.08706064542722347,0.00019998000199980003
Positive Regulation of Cellular Process (GO:0048522),0.08729270572035874,9.999000099990002e-05
Regulation of Angiogenesis (GO:0045765),0.08730107509873086,9.999000099990002e-05
Netrin-1 Signaling,0.08748899802537613,0.025697430256974303
Regulation of Cellular Senescence (GO:2000772),0.08763098496609201,0.046295370462953706
Parasite Infection,0.0885661606933501,0.0036996300369963003
FCGR3A-mediated Phagocytosis,0.0885661606933501,0.0036996300369963003
Leishmania Phagocytosis,0.0885661606933501,0.0036996300369963003
Axon guidance,0.08901241597933607,0.00019998000199980003
Cell-Cell Communication,0.09008607406604352,9.999000099990002e-05
Regulation of Cell Population Proliferation (GO:0042127),0.09064230092456438,9.999000099990002e-05
Metabolism of Lipids,0.0921825315820286,9.999000099990002e-05
Costimulation by the CD28 Family,0.09260752609629774,0.0057994200579942
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),0.09310750519496391,9.999000099990002e-05
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.09327759305085559,0.00019998000199980003
Complement,0.09346060916742926,9.999000099990002e-05
Metabolism of Vitamins and Cofactors,0.09356020933050702,9.999000099990002e-05
NF-kappa B signaling pathway,0.09409443140662443,0.000999900009999
Regulation of T Cell Receptor Signaling Pathway (GO:0050856),0.09412868607425429,0.019998000199980003
Actin Filament Organization (GO:0007015),0.09477649189070059,9.999000099990002e-05
Collagen Degradation,0.09584193379207229,0.007099290070992901
Regulation of Cell Adhesion (GO:0030155),0.09595187320334964,9.999000099990002e-05
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Lamellipodium Assembly (GO:0030032),0.09761323259138244,0.0471952804719528
Regulation of Signal Transduction (GO:0009966),0.09774120980967094,9.999000099990002e-05
Endoderm Formation (GO:0001706),0.09780409140286284,0.0244975502449755
Cellular Component Assembly (GO:0022607),0.09941342193443037,9.999000099990002e-05
Regulation of Cell-Substrate Adhesion (GO:0010810),0.10033210370684387,0.010198980101989802
Viral myocarditis,0.10072999312975939,0.006399360063993601
Positive Regulation of Supramolecular Fiber Organization (GO:1902905),0.10097460177274786,0.0004999500049995
Pyroptosis,0.10115662650602408,0.041495850414958506
Negative Regulation of Inflammatory Response (GO:0050728),0.10144053850538659,0.00019998000199980003
Cellular Response to Nitrogen Compound (GO:1901699),0.10158726838023258,9.999000099990002e-05
Th17 cell differentiation,0.10189184819513464,0.00029997000299970003
Positive Regulation of Protein Localization to Membrane (GO:1905477),0.10195577491299113,0.0013998600139986002
Membrane Lipid Biosynthetic Process (GO:0046467),0.10299401353846582,0.0066993300669933005
Cellular Response to Mechanical Stimulus (GO:0071260),0.10376741311859627,0.0045995400459954
Positive Regulation of Gene Expression (GO:0010628),0.10439632722720049,9.999000099990002e-05
Positive Regulation of Apoptotic Signaling Pathway (GO:2001235),0.10445791233739676,0.0018998100189981002
Negative Regulation of Immune Response (GO:0050777),0.10477999387772341,0.0021997800219978004
Cellular Response to Calcium Ion (GO:0071277),0.10509145977091028,0.004399560043995601
Phospholipase D signaling pathway,0.10521982531215202,9.999000099990002e-05
Regulation of Metabolic Process (GO:0019222),0.10531623528715961,0.005699430056994301
Pathways in cancer,0.10544631710362051,9.999000099990002e-05
