,total_singscore,p_value
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Regulation of ERK1 and ERK2 Cascade (GO:0070372),0.04345273320657006,0.0160983901609839
Fatty Acid Metabolism,0.04657377927872641,0.019198080191980802
Response to Lipopolysaccharide (GO:0032496),0.0468045078934185,0.029997000299970003
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Positive Regulation of Cytokine Production (GO:0001819),0.04906765196841534,0.0025997400259974
Positive Regulation of Epithelial Cell Proliferation (GO:0050679),0.04925083657720419,0.041495850414958506
Positive Regulation of Multicellular Organismal Process (GO:0051240),0.04972858118323242,0.0004999500049995
Nervous System Development (GO:0007399),0.05021780831585099,0.00019998000199980003
Natural killer cell mediated cytotoxicity,0.0521808206775386,0.0420957904209579
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
Sphingolipid Biosynthetic Process (GO:0030148),0.05527586771447279,0.047495250474952504
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.058970937200671925,0.04839516048395161
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Generation of Neurons (GO:0048699),0.062415640667673244,0.003999600039996
Regulation of MAP Kinase Activity (GO:0043405),0.06248913421418634,0.0415958404159584
Regulation of Wnt Signaling Pathway (GO:0030111),0.06275501843506759,0.014498550144985502
Intracellular Monoatomic Cation Homeostasis (GO:0030003),0.06275859950637985,0.0015998400159984002
Cholinergic synapse,0.06300058752840687,0.013498650134986502
Axon Guidance (GO:0007411),0.06324343504147079,0.004299570042995701
Proteolysis (GO:0006508),0.06339067725448122,0.00029997000299970003
cAMP signaling pathway,0.06421766062053835,0.0008999100089991
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Regulation of Epithelial Cell Proliferation (GO:0050678),0.06640464506735333,0.017998200179982
Sphingolipid Metabolic Process (GO:0006665),0.06683537359589087,0.024997500249975
Gastric cancer,0.0669571076846579,0.0037996200379962005
Positive Regulation of Cell Adhesion (GO:0045785),0.06718714703077555,0.0182981701829817
