,total_singscore,p_value
Negative Regulation of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902176),0.334174332888041,9.999000099990002e-05
Constitutive Signaling by Overexpressed ERBB2,0.3261747232725639,9.999000099990002e-05
Regulation of Fibroblast Migration (GO:0010762),0.3236668027766435,9.999000099990002e-05
SARS-CoV-1-host Interactions,0.31642659507896176,9.999000099990002e-05
Negative Regulation of Fibroblast Migration (GO:0010764),0.3065211181391553,0.007499250074992501
SARS-CoV-1 Infection,0.2992753139243167,9.999000099990002e-05
Chaperone Mediated Autophagy,0.2875839298110523,9.999000099990002e-05
FBXL7 Down-Regulates AURKA During Mitotic Entry and in Early Mitosis,0.28674089383996204,9.999000099990002e-05
Signaling by ERBB2 ECD Mutants,0.28628949946925775,9.999000099990002e-05
Sema4D Induced Cell Migration and Growth-Cone Collapse,0.27541649652919564,9.999000099990002e-05
Downregulation of ERBB2 ERBB3 Signaling,0.2746097638329339,9.999000099990002e-05
Regulation of Translation (GO:0006417),0.2708852344474726,9.999000099990002e-05
Macromolecule Biosynthetic Process (GO:0009059),0.2684812863442646,9.999000099990002e-05
APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,0.2683971116858178,9.999000099990002e-05
RHOH GTPase Cycle,0.2618495428895533,9.999000099990002e-05
DNA Topological Change (GO:0006265),0.2600415402545928,0.0020997900209979003
Host Interactions of HIV Factors,0.2595917215641945,9.999000099990002e-05
Nef Mediated CD4 Down-regulation,0.2576561500891119,0.0022997700229977
Reelin-Mediated Signaling Pathway (GO:0038026),0.2486080421639334,0.008999100089991
Chromatin Remodeling (GO:0006338),0.24839173336744935,9.999000099990002e-05
Sema4D in Semaphorin Signaling,0.24836471180810793,9.999000099990002e-05
Positive Regulation of Translation (GO:0045727),0.2471863990167964,9.999000099990002e-05
APC C-mediated Degradation of Cell Cycle Proteins,0.24709887494303928,9.999000099990002e-05
Regulation of Mitotic Cell Cycle,0.24709887494303928,9.999000099990002e-05
MITF-M-dependent Gene Expression,0.24618940785513554,9.999000099990002e-05
MAPK6 MAPK4 Signaling,0.24215822468400638,9.999000099990002e-05
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243),0.24195825719371422,9.999000099990002e-05
Cellular Responses to Stress,0.24169151763153818,9.999000099990002e-05
Adherens junction,0.24066577039981285,9.999000099990002e-05
Regulation of Inflammatory Response to Antigenic Stimulus (GO:0002861),0.23981638360414792,0.00029997000299970003
