,total_singscore,p_value
Mitotic Spindle,0.23076831651160246,9.999000099990002e-05
G2-M Checkpoint,0.1769744960921431,9.999000099990002e-05
Estrogen Response Late,0.14463090066431405,9.999000099990002e-05
Interferon Alpha Response,0.13228903309500895,9.999000099990002e-05
Interferon Gamma Response,0.10803534802300996,9.999000099990002e-05
Apical Junction,0.11832646041496453,9.999000099990002e-05
Complement,0.09346060916742926,9.999000099990002e-05
PI3K/AKT/mTOR  Signaling,0.2343030833051759,9.999000099990002e-05
mTORC1 Signaling,0.21892287124640064,9.999000099990002e-05
E2F Targets,0.1608183874948581,9.999000099990002e-05
Epithelial Mesenchymal Transition,0.1659121244208679,9.999000099990002e-05
Inflammatory Response,0.00036978390297293107,0.49085091490850913
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Fatty Acid Metabolism,0.04657377927872641,0.019198080191980802
Reactive Oxygen Species Pathway,0.15375037473087505,0.00029997000299970003
p53 Pathway,0.1592839893294984,9.999000099990002e-05
UV Response Up,0.1556695168782538,9.999000099990002e-05
UV Response Dn,0.21594241064507003,9.999000099990002e-05
heme Metabolism,0.1475834183902488,9.999000099990002e-05
Coagulation,0.07381066868270236,0.0020997900209979003
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Bile Acid Metabolism,0.03906150108681761,0.09259074092590741
Pperoxisome,0.11446210569438753,0.00019998000199980003
Allograft Rejection,0.034736352579067376,0.0608939106089391
Spermatogenesis,-0.01596204457667011,0.7143285671432856
KRAS Signaling Up,0.027096560858132168,0.09929007099290071
KRAS Signaling Dn,-0.07848330596606456,0.9996000399960004
ABC transporters,0.019475388651455372,0.3357664233576642
AGE-RAGE signaling pathway in diabetic complications,0.1750057620157166,9.999000099990002e-05
Adherens junction,0.24066577039981285,9.999000099990002e-05
Alzheimer disease,0.15449437510587916,9.999000099990002e-05
Amyotrophic lateral sclerosis,0.18552936205073411,9.999000099990002e-05
Arachidonic acid metabolism,-0.07341173663365841,0.9639036096390361
Autophagy,0.2188468626986667,9.999000099990002e-05
Axon guidance,0.08901241597933607,0.00019998000199980003
Bile secretion,-0.06308583854078703,0.9568043195680432
Bladder cancer,0.21258810795405136,9.999000099990002e-05
Breast cancer,0.06730990092762035,0.0040995900409959
C-type lectin receptor signaling pathway,0.1497181432784468,9.999000099990002e-05
Calcium signaling pathway,-0.023111164228380554,0.8793120687931207
Central carbon metabolism in cancer,0.1478536222606217,9.999000099990002e-05
Cholinergic synapse,0.06300058752840687,0.013498650134986502
Coronavirus disease,0.22833659666618167,9.999000099990002e-05
Cytosolic DNA-sensing pathway,0.08220958143283474,0.0230976902309769
Diabetic cardiomyopathy,0.19200566948066577,9.999000099990002e-05
Endometrial cancer,0.22357172673274017,9.999000099990002e-05
ErbB signaling pathway,0.1524747205960617,9.999000099990002e-05
Estrogen signaling pathway,0.15383689236822695,9.999000099990002e-05
Fc epsilon RI signaling pathway,0.13531616808816072,0.00019998000199980003
Ferroptosis,0.224158436709623,9.999000099990002e-05
Fluid shear stress and atherosclerosis,0.15367977518559495,9.999000099990002e-05
Focal adhesion,0.15631667654311865,9.999000099990002e-05
Gastric cancer,0.0669571076846579,0.0037996200379962005
GnRH signaling pathway,0.17217588847143805,9.999000099990002e-05
HIF-1 signaling pathway,0.17757075790001342,9.999000099990002e-05
Hepatocellular carcinoma,0.13134376256237545,9.999000099990002e-05
Human T-cell leukemia virus 1 infection,0.1631985945020037,9.999000099990002e-05
Human papillomavirus infection,0.1468841508252977,9.999000099990002e-05
Influenza A,0.12027946199161366,9.999000099990002e-05
