,total_singscore,p_value
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Regulation of ERK1 and ERK2 Cascade (GO:0070372),0.04345273320657006,0.0160983901609839
Fatty Acid Metabolism,0.04657377927872641,0.019198080191980802
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Positive Regulation of Cytokine Production (GO:0001819),0.04906765196841534,0.0025997400259974
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
Regulation of Insulin Secretion (GO:0050796),0.05469058039459107,0.04839516048395161
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Cellular Response to Hormone Stimulus (GO:0032870),0.06054171710687861,0.0354964503549645
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Positive Regulation of Secretion by Cell (GO:1903532),0.06116612111292963,0.041195880411958805
GnRH secretion,0.06348398091342877,0.04689531046895311
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Breast cancer,0.06730990092762035,0.0040995900409959
Chemical carcinogenesis,0.07174683807847548,0.00029997000299970003
Positive Regulation of Signal Transduction (GO:0009967),0.07244104641633109,0.00029997000299970003
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),0.07293777900700515,0.0004999500049995
Positive Regulation of Protein Secretion (GO:0050714),0.07351013071349244,0.0168983101689831
Negative Regulation of Cell Cycle (GO:0045786),0.07443682875027458,0.012198780121987801
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Cellular Response to Cytokine Stimulus (GO:0071345),0.07656277836888947,9.999000099990002e-05
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091),0.07692876895528677,0.00019998000199980003
Negative Regulation of Response to External Stimulus (GO:0032102),0.08037358646647386,0.0006999300069993001
Negative Regulation of Biosynthetic Process (GO:0009890),0.08473399701792494,0.033996600339966
Positive Regulation of Cellular Process (GO:0048522),0.08729270572035874,9.999000099990002e-05
Metabolism of Steroids,0.08870545039055266,9.999000099990002e-05
Negative Regulation of Multicellular Organismal Process (GO:0051241),0.0899816369839832,9.999000099990002e-05
Regulation of Cell Population Proliferation (GO:0042127),0.09064230092456438,9.999000099990002e-05
