,total_singscore,p_value
Progesterone Receptor Signaling Pathway (GO:0050847),0.30785306122448985,0.00019998000199980003
Maintenance of Protein Location in Nucleus (GO:0051457),0.3061821151490405,9.999000099990002e-05
Maintenance of Protein Localization in Organelle (GO:0072595),0.29906817645671147,9.999000099990002e-05
Estrogen-dependent Gene Expression,0.2739436467266424,9.999000099990002e-05
Chromatin Remodeling (GO:0006338),0.24839173336744935,9.999000099990002e-05
Mitochondrial Unfolded Protein Response (UPRmt),0.24570558095860207,0.00029997000299970003
RUNX1 Regulates Estrogen Receptor Mediated Transcription,0.24446348895418435,0.0178982101789821
Regulation of RUNX2 Expression and Activity,0.2430384370222871,9.999000099990002e-05
Cellular Responses to Stress,0.24169151763153818,9.999000099990002e-05
Transcriptional Activation of Mitochondrial Biogenesis,0.23673393657408726,9.999000099990002e-05
Cellular Response to Hexose Stimulus (GO:0071331),0.23600490095977134,9.999000099990002e-05
Mitochondrial Biogenesis,0.23597362036753022,9.999000099990002e-05
Response to Peptide Hormone (GO:0043434),0.23513893120694396,9.999000099990002e-05
Cellular Responses to Stimuli,0.23434627858839696,9.999000099990002e-05
Regulation of Ketone Metabolic Process (GO:0010565),0.23401085669972654,0.0053994600539946005
Cellular Response to Corticosteroid Stimulus (GO:0071384),0.2307456800047729,0.0013998600139986002
SUMOylation,0.22791099597330022,9.999000099990002e-05
SUMO E3 Ligases SUMOylate Target Proteins,0.2265945966130809,9.999000099990002e-05
Intracellular Glucose Homeostasis (GO:0001678),0.22466663688442245,9.999000099990002e-05
Chromatin Organization (GO:0006325),0.22222717885171417,9.999000099990002e-05
Deubiquitination,0.22129354375040833,9.999000099990002e-05
SUMOylation of Intracellular Receptors,0.22111288760255343,9.999000099990002e-05
Protein Localization to Nucleus (GO:0034504),0.2209722394922523,9.999000099990002e-05
ESR-mediated Signaling,0.2130378936863424,9.999000099990002e-05
Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors,0.2117091893139018,9.999000099990002e-05
Transcriptional Regulation by RUNX2,0.21006765924625315,9.999000099990002e-05
Response to Glucose (GO:0009749),0.2095635501586618,9.999000099990002e-05
Protein Localization to Chromatin (GO:0071168),0.2070761113212246,9.999000099990002e-05
Positive Regulation of Nitric Oxide Metabolic Process (GO:1904407),0.20497880833693682,9.999000099990002e-05
Nuclear Receptor-Mediated Steroid Hormone Signaling Pathway (GO:0030518),0.20452369275321702,9.999000099990002e-05
