,total_singscore,p_value
Estrogen Response Early,0.17636459503208424,9.999000099990002e-05
Estrogen Response Late,0.14463090066431405,9.999000099990002e-05
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Fatty Acid Metabolism,0.04657377927872641,0.019198080191980802
Bile Acid Metabolism,0.03906150108681761,0.09259074092590741
Pperoxisome,0.11446210569438753,0.00019998000199980003
KRAS Signaling Up,0.027096560858132168,0.09929007099290071
Arachidonic acid metabolism,-0.07341173663365841,0.9639036096390361
Bile secretion,-0.06308583854078703,0.9568043195680432
Breast cancer,0.06730990092762035,0.0040995900409959
Chemical carcinogenesis,0.07174683807847548,0.00029997000299970003
Endocrine and other factor-regulated calcium reabsorption,0.09544200925235768,0.012098790120987902
Estrogen signaling pathway,0.15383689236822695,9.999000099990002e-05
GnRH secretion,0.06348398091342877,0.04689531046895311
Oocyte meiosis,0.13667041213860986,9.999000099990002e-05
Pathways in cancer,0.10544631710362051,9.999000099990002e-05
Peroxisome,0.09957275890298811,0.0012998700129987
Progesterone-mediated oocyte maturation,0.13621453537587724,9.999000099990002e-05
Prolactin signaling pathway,0.17360511037336568,9.999000099990002e-05
Proteoglycans in cancer,0.16178152500205611,9.999000099990002e-05
Thyroid hormone signaling pathway,0.1929855547733409,9.999000099990002e-05
Arachidonate Metabolism,-0.0765992064624782,0.9742025797420258
Bile Acid and Bile Salt Metabolism,-0.0019953147557952855,0.5185481451854814
Biological Oxidations,-0.027313980002240446,0.9032096790320968
Biosynthesis of DHA-derived SPMs,-0.1025039172771548,0.9023097690230977
Biosynthesis of Maresins,-0.25213530704695053,0.9905009499050095
Biosynthesis of Specialized Proresolving Mediators (SPMs),-0.08535755596380218,0.8745125487451255
Cellular Responses to Stimuli,0.23434627858839696,9.999000099990002e-05
Cellular Responses to Stress,0.24169151763153818,9.999000099990002e-05
Class A 1 (Rhodopsin-like Receptors),-0.19314810351250083,1.0
Constitutive Signaling by Aberrant PI3K in Cancer,-0.01569618353929675,0.679032096790321
Cytochrome P450 - Arranged by Substrate Type,-0.10994914650247112,0.9985001499850015
Deubiquitination,0.22129354375040833,9.999000099990002e-05
Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers,0.19817275041650906,9.999000099990002e-05
ESR-mediated Signaling,0.2130378936863424,9.999000099990002e-05
Endogenous Sterols,-0.018979366829421918,0.6242375762423757
Estrogen-dependent Gene Expression,0.2739436467266424,9.999000099990002e-05
Extra-nuclear Estrogen Signaling,0.13739355491139926,9.999000099990002e-05
G Alpha (I) Signalling Events,-0.06407322211802502,0.9998000199980002
G Alpha (S) Signalling Events,-0.056454314656232574,0.9842015798420158
GPCR Downstream Signalling,-0.05106518844881225,1.0
GPCR Ligand Binding,-0.1851065648506952,1.0
GPER1 Signaling,0.110469845940665,0.0065993400659934
Gene Expression (Transcription),0.17612247149195204,9.999000099990002e-05
Generic Transcription Pathway,0.1660544297626919,9.999000099990002e-05
HSP90 Chaperone Cycle for Steroid Hormone Receptors (SHR) in the Presence of Ligand,0.19102195029857882,9.999000099990002e-05
Intracellular Signaling by Second Messengers,0.1632766073462849,9.999000099990002e-05
Metabolism of Lipids,0.0921825315820286,9.999000099990002e-05
Metabolism of Steroids,0.08870545039055266,9.999000099990002e-05
Mitochondrial Biogenesis,0.23597362036753022,9.999000099990002e-05
Mitochondrial Unfolded Protein Response (UPRmt),0.24570558095860207,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
Nuclear Receptor Transcription Pathway,0.09920999918240536,0.008599140085991401
Nuclear Signaling by ERBB4,0.16195250965607122,0.0007999200079992001
Organelle Biogenesis and Maintenance,0.1999855149618075,9.999000099990002e-05
Ovarian Tumor Domain Proteases,0.18292138827014004,9.999000099990002e-05
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
PIP3 Activates AKT Signaling,0.16774760169738012,9.999000099990002e-05
PPARA Activates Gene Expression,0.17223820350271402,9.999000099990002e-05
Peptide Ligand-Binding Receptors,-0.2058357424923839,1.0
Peroxisomal Protein Import,0.1438756085769708,0.00019998000199980003
Phase I - Functionalization of Compounds,-0.07609589805080724,0.9951004899510049
Post-translational Protein Modification,0.16855691801631933,9.999000099990002e-05
Protein Localization,0.1742840715077768,9.999000099990002e-05
RNA Polymerase II Transcription,0.1745351895540438,9.999000099990002e-05
RUNX1 Regulates Estrogen Receptor Mediated Transcription,0.24446348895418435,0.0178982101789821
RUNX1 Regulates Transcription of Genes Involved in WNT Signaling,0.13006039830231797,0.14038596140385962
Recycling of Bile Acids and Salts,-0.08627273041282918,0.8604139586041396
Regulation of RUNX2 Expression and Activity,0.2430384370222871,9.999000099990002e-05
Regulation of Lipid Metabolism by PPARalpha,0.17492280181324815,9.999000099990002e-05
SUMO E3 Ligases SUMOylate Target Proteins,0.2265945966130809,9.999000099990002e-05
SUMOylation,0.22791099597330022,9.999000099990002e-05
SUMOylation of Intracellular Receptors,0.22111288760255343,9.999000099990002e-05
Signaling by ERBB4,0.17336963996951738,9.999000099990002e-05
Signaling by GPCR,-0.0633273327792464,1.0
Signaling by Nuclear Receptors,0.16049804095170983,9.999000099990002e-05
Signaling by Receptor Tyrosine Kinases,0.16635260308204913,9.999000099990002e-05
Synthesis of Bile Acids and Bile Salts,0.03388060269117921,0.2673732626737326
Synthesis of Bile Acids and Bile Salts via 27-Hydroxycholesterol,-0.06983772992589682,0.7897210278972103
Synthesis of Bile Acids and Bile Salts via 7Alpha-Hydroxycholesterol,0.005426704777460212,0.47135286471352866
Synthesis of Epoxy (EET) and Dihydroxyeicosatrienoic Acids (DHET),-0.2540877679834585,0.9851014898510149
TFAP2 (AP-2) Family Regulates Transcription of Growth Factors and Their Receptors,0.18609002095409144,0.0110988901109889
Transcriptional Activation of Mitochondrial Biogenesis,0.23673393657408726,9.999000099990002e-05
Transcriptional Regulation by RUNX1,0.19623800780053346,9.999000099990002e-05
Transcriptional Regulation by RUNX2,0.21006765924625315,9.999000099990002e-05
Transcriptional Regulation by the AP-2 (TFAP2) Family of Transcription Factors,0.2117091893139018,9.999000099990002e-05
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),0.1669629601282353,0.00019998000199980003
Action Potential (GO:0001508),-0.07635156350653166,0.9736026397360263
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),-0.10570655897234332,0.9999000099990001
Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),-0.10098543758377698,1.0
Apoptotic Nuclear Changes (GO:0030262),0.10376329663151995,0.08859114088591141
Bile Acid and Bile Salt Transport (GO:0015721),-0.04384034299714168,0.7512248775122488
Blood Vessel Diameter Maintenance (GO:0097746),0.04813362203973792,0.17398260173982602
Cellular Response to Corticosteroid Stimulus (GO:0071384),0.2307456800047729,0.0013998600139986002
Cellular Response to Cytokine Stimulus (GO:0071345),0.07656277836888947,9.999000099990002e-05
Cellular Response to Estradiol Stimulus (GO:0071392),0.043350921391706154,0.275972402759724
Cellular Response to Estrogen Stimulus (GO:0071391),0.15380062236820202,0.025697430256974303
Cellular Response to Fatty Acid (GO:0071398),-0.11546756456226392,0.9486051394860514
Cellular Response to Glucose Stimulus (GO:0071333),0.18857591728041545,9.999000099990002e-05
Cellular Response to Hexose Stimulus (GO:0071331),0.23600490095977134,9.999000099990002e-05
Cellular Response to Hormone Stimulus (GO:0032870),0.06054171710687861,0.0354964503549645
Cellular Response to Lipid (GO:0071396),-0.003399353224080859,0.5674432556744325
Cellular Response to Molecule of Bacterial Origin (GO:0071219),0.019783332766357464,0.2420757924207579
Cellular Response to Nitrogen Compound (GO:1901699),0.10158726838023258,9.999000099990002e-05
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Cellular Response to Peptide Hormone Stimulus (GO:0071375),0.15657544236282617,9.999000099990002e-05
Cellular Response to Steroid Hormone Stimulus (GO:0071383),0.011697751774524145,0.42655734426557346
Cellular Response to Tumor Necrosis Factor (GO:0071356),0.10071309612719515,0.0008999100089991
Cholesterol Homeostasis (GO:0042632),0.022445862652048176,0.2646735326467353
Chromatin Organization (GO:0006325),0.22222717885171417,9.999000099990002e-05
Chromatin Remodeling (GO:0006338),0.24839173336744935,9.999000099990002e-05
Chromosome Condensation (GO:0030261),0.11363213476925027,0.021097890210978902
Dephosphorylation (GO:0016311),0.12626717794470044,9.999000099990002e-05
Estrogen Receptor Signaling Pathway (GO:0030520),0.1965557596788461,0.0026997300269973002
Intracellular Calcium Ion Homeostasis (GO:0006874),0.034062798961322915,0.10008999100089991
Intracellular Glucose Homeostasis (GO:0001678),0.22466663688442245,9.999000099990002e-05
Intracellular Receptor Signaling Pathway (GO:0030522),0.17100221481885902,0.0004999500049995
Intracellular Triglyceride Homeostasis (GO:0035356),0.19773963537992434,0.0324967503249675
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Lipid Modification (GO:0030258),0.0023187378158144867,0.4814518548145185
Lipid Transport (GO:0006869),0.03611879085885039,0.11448855114488551
Maintenance of Gastrointestinal Epithelium (GO:0030277),-0.040512472442230774,0.7117288271172882
Maintenance of Protein Localization in Organelle (GO:0072595),0.29906817645671147,9.999000099990002e-05
Maintenance of Protein Location in Nucleus (GO:0051457),0.3061821151490405,9.999000099990002e-05
Monocarboxylic Acid Transport (GO:0015718),-0.04657360379700942,0.8933106689331067
Negative Regulation of DNA-binding Transcription Factor Activity (GO:0043433),0.11862681261705932,9.999000099990002e-05
Negative Regulation of DNA-templated Transcription (GO:0045892),0.15598426395456144,9.999000099990002e-05
Negative Regulation of ERK1 and ERK2 Cascade (GO:0070373),0.15858437223244093,0.00029997000299970003
Negative Regulation of MAPK Cascade (GO:0043409),0.12338790022902058,9.999000099990002e-05
Negative Regulation of RNA Biosynthetic Process (GO:1902679),0.16715910561858127,9.999000099990002e-05
Negative Regulation of Apoptotic Process (GO:0043066),0.14422377388668073,9.999000099990002e-05
Negative Regulation of Biosynthetic Process (GO:0009890),0.08473399701792494,0.033996600339966
Negative Regulation of Canonical NF-kappaB Signal Transduction (GO:0043124),0.16331902823287525,9.999000099990002e-05
Negative Regulation of Cell Activation (GO:0050866),0.016657822407271317,0.42185781421857815
Negative Regulation of Cell Cycle (GO:0045786),0.07443682875027458,0.012198780121987801
Negative Regulation of Cell Cycle Process (GO:0010948),0.08194054416623064,0.06159384061593841
Negative Regulation of Cell Differentiation (GO:0045596),0.09735572685930505,9.999000099990002e-05
Negative Regulation of Cell Growth (GO:0030308),0.11802562429637309,9.999000099990002e-05
Negative Regulation of Cell Population Proliferation (GO:0008285),0.10588220378473501,9.999000099990002e-05
Negative Regulation of Cellular Component Organization (GO:0051129),0.13681969801258198,9.999000099990002e-05
Negative Regulation of Cellular Process (GO:0048523),0.11804257508910809,9.999000099990002e-05
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Negative Regulation of Defense Response (GO:0031348),0.1078809381697402,9.999000099990002e-05
Negative Regulation of Fat Cell Differentiation (GO:0045599),0.08376225490196076,0.059694030596940305
Negative Regulation of Gene Expression (GO:0010629),0.15653076594445103,9.999000099990002e-05
Negative Regulation of Growth (GO:0045926),0.10523858943857023,0.00019998000199980003
Negative Regulation of Immune System Process (GO:0002683),-0.014961130188319294,0.6394360563943605
Negative Regulation of Inflammatory Response (GO:0050728),0.10144053850538659,0.00019998000199980003
Negative Regulation of Intracellular Signal Transduction (GO:1902532),0.15875473658476957,9.999000099990002e-05
Negative Regulation of Leukocyte Activation (GO:0002695),0.08636994691710909,0.0927907209279072
Negative Regulation of Lipid Biosynthetic Process (GO:0051055),0.07569855167160566,0.1050894910508949
Negative Regulation of Lipid Metabolic Process (GO:0045833),-0.04935982002872863,0.7944205579442056
Negative Regulation of Macromolecule Biosynthetic Process (GO:0010558),0.12450309126021475,9.999000099990002e-05
Negative Regulation of miRNA Metabolic Process (GO:2000629),0.18183365328323053,0.0004999500049995
