,total_singscore,p_value
Purine metabolism,0.0819542003253736,0.0007999200079992001
G1 S-Specific Transcription,0.0951121523685039,0.0433956604339566
Glutathione metabolism,0.09882502044153718,0.008099190080991902
Nucleoside Phosphate Biosynthetic Process (GO:1901293),0.11772778412905804,0.041495850414958506
E2F Mediated Regulation of DNA Replication,0.11781466246918715,0.028397160283971604
Metabolism of Nucleotides,0.12611542020124356,9.999000099990002e-05
Lagging Strand Synthesis,0.126547570436913,0.024897510248975102
Positive Regulation of Cell Cycle Process (GO:0090068),0.12677029230433257,9.999000099990002e-05
Extension of Telomeres,0.12798937040065417,0.0012998700129987
Nucleobase-Containing Small Molecule Metabolic Process (GO:0055086),0.12853252189701259,0.034096590340965904
DNA-templated DNA Replication Maintenance of Fidelity (GO:0045005),0.12873665895980757,0.0016998300169983002
DNA replication,0.13569729327267932,0.0021997800219978004
Mismatch Repair,0.1359638021364904,0.032296770322967704
Positive Regulation of Cell Cycle G1/S Phase Transition (GO:1902808),0.13614575305355103,0.0011998800119988001
Chromosome Maintenance,0.13709934537224022,9.999000099990002e-05
Mismatch repair,0.1375574617232569,0.012098790120987902
Mismatch Repair (MMR) Directed by MSH2 MSH6 (MutSalpha),0.1400753475786134,0.0336966303369663
DNA Strand Elongation (GO:0022616),0.14008966718371563,0.046495350464953504
Telomere C-strand (Lagging Strand) Synthesis,0.142095978773925,0.0023997600239976003
Inhibition of Replication Initiation of Damaged DNA by RB1 E2F1,0.14254649705929456,0.0354964503549645
DNA Biosynthetic Process (GO:0071897),0.14391987146387564,0.019598040195980403
Positive Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010971),0.14504683782871908,0.014298570142985701
Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087),0.14743851621864534,0.0014998500149985001
Telomere Maintenance,0.14856580024559962,9.999000099990002e-05
Pyrimidine metabolism,0.1488979758740544,9.999000099990002e-05
Nucleotide Salvage,0.15096633601615628,0.0072992700729927005
Interconversion of Nucleotide Di- and Triphosphates,0.1512904448065988,0.0018998100189981002
DNA-templated DNA Replication (GO:0006261),0.15156168599086495,0.00019998000199980003
Polymerase Switching,0.15242138658206594,0.022497750224977502
Leading Strand Synthesis,0.15242138658206594,0.022497750224977502
