,total_singscore,p_value
One-Carbon Metabolic Process (GO:0006730),0.2951265306122448,0.0004999500049995
Myc Targets V1,0.2882062937062936,9.999000099990002e-05
UV-damage Excision Repair (GO:0070914),0.28340488851121937,0.00019998000199980003
Regulation of Translation (GO:0006417),0.2708852344474726,9.999000099990002e-05
Tetrahydrofolate Metabolic Process (GO:0046653),0.26652244897959176,0.0008999100089991
"Base-Excision Repair, Gap-Filling (GO:0006287)",0.2598157995317063,0.0005999400059994001
Global Genome Nucleotide Excision Repair (GG-NER),0.2510698007197639,9.999000099990002e-05
Dual Incision in GG-NER,0.24981783820045078,9.999000099990002e-05
Nucleotide Excision Repair,0.2467496592568308,9.999000099990002e-05
Mitochondrial DNA Replication (GO:0006264),0.24621183411943737,0.009999000099990002
Transcription-Coupled Nucleotide Excision Repair (TC-NER),0.24386424438767373,9.999000099990002e-05
Recognition of DNA Damage by PCNA-containing Replication Complex,0.2397140522875817,9.999000099990002e-05
Dual Incision in TC-NER,0.23461605637332728,9.999000099990002e-05
Transcriptional Regulation by E2F6,0.23051392480509125,9.999000099990002e-05
DNA Damage Bypass,0.22876189051463736,9.999000099990002e-05
Base-Excision Repair (GO:0006284),0.2275414652191119,9.999000099990002e-05
Double-Strand Break Repair via Nonhomologous End Joining (GO:0006303),0.22595935109619814,9.999000099990002e-05
Translesion Synthesis (GO:0019985),0.22555268900445835,9.999000099990002e-05
Gap-filling DNA Repair Synthesis and Ligation in TC-NER,0.22549571968417492,9.999000099990002e-05
Tetrahydrofolate Interconversion (GO:0035999),0.22505169224072263,0.027297270272972702
Gap-filling DNA Repair Synthesis and Ligation in GG-NER,0.22357933428629773,9.999000099990002e-05
Nucleotide-Excision Repair (GO:0006289),0.22014494441920007,9.999000099990002e-05
Response to UV (GO:0009411),0.21976869022057388,9.999000099990002e-05
mTORC1 Signaling,0.21892287124640064,9.999000099990002e-05
Base excision repair,0.21657375322040107,9.999000099990002e-05
Cytosolic Iron-Sulfur Cluster Assembly,0.2137640087797249,0.0028997100289971
Translesion Synthesis by Y Family DNA Polymerases Bypasses Lesions on DNA Template,0.2135910428244524,9.999000099990002e-05
S Phase,0.21274886777165292,9.999000099990002e-05
Regulation of G0 to G1 Transition (GO:0070316),0.2116396015544595,9.999000099990002e-05
Negative Regulation of Translation (GO:0017148),0.20793567898200493,9.999000099990002e-05
RNA Biosynthetic Process (GO:0032774),0.207879388755579,9.999000099990002e-05
Termination of Translesion DNA Synthesis,0.20506296470299856,9.999000099990002e-05
DNA Replication Pre-Initiation,0.20454194023250127,9.999000099990002e-05
DNA Repair,0.2036717641585657,9.999000099990002e-05
Nucleotide excision repair,0.2028748542667842,9.999000099990002e-05
Homologous recombination,0.20256242592668272,9.999000099990002e-05
DNA Repair (GO:0006281),0.1999725280573108,9.999000099990002e-05
Synthesis of DNA,0.1990112675743484,9.999000099990002e-05
Diseases of Programmed Cell Death,0.1987395753111204,9.999000099990002e-05
G1 S Transition,0.1978109197758644,9.999000099990002e-05
DNA Double-Strand Break Repair,0.19573890614924683,9.999000099990002e-05
Resolution of Abasic Sites (AP Sites),0.19505105727705996,9.999000099990002e-05
Mitochondrial DNA Metabolic Process (GO:0032042),0.19474719024682297,0.008399160083991601
Telomere C-strand Synthesis Initiation,0.1943738793761245,0.0064993500649935
Cellular Response to Light Stimulus (GO:0071482),0.19257597442426722,9.999000099990002e-05
Double-Strand Break Repair (GO:0006302),0.1925296656462362,9.999000099990002e-05
DNA Metabolic Process (GO:0006259),0.18990848257303095,9.999000099990002e-05
"Cell Cycle, Mitotic",0.1884735584349989,9.999000099990002e-05
DNA Damage Response (GO:0006974),0.18696774411366068,9.999000099990002e-05
Cellular Response to UV (GO:0034644),0.1867594638586536,9.999000099990002e-05
Carbohydrate Derivative Biosynthetic Process (GO:1901137),0.1856699716615049,9.999000099990002e-05
DNA Replication,0.1856259859910393,9.999000099990002e-05
Base Excision Repair,0.18549761417859578,9.999000099990002e-05
Regulation of G1/S Transition of Mitotic Cell Cycle (GO:2000045),0.18441984111806264,9.999000099990002e-05
Cell Cycle,0.18298779061964598,9.999000099990002e-05
Removal of the Flap Intermediate From the C-strand,0.18198837122731337,0.003999600039996
HDR Through Homologous Recombination (HRR),0.18139643801204264,9.999000099990002e-05
Regulation of Type I Interferon Production (GO:0032479),0.1806961005890534,9.999000099990002e-05
Mitotic G1 Phase and G1 S Transition,0.18057398963410143,9.999000099990002e-05
DNA Synthesis Involved in DNA Repair (GO:0000731),0.17996682291732113,0.000999900009999
HDR Through Homologous Recombination (HRR) or Single Strand Annealing (SSA),0.17885143312804552,9.999000099990002e-05
Homology Directed Repair,0.1783744411326379,9.999000099990002e-05
One carbon pool by folate,0.17837076357697013,0.0030996900309969004
G2-M Checkpoint,0.1769744960921431,9.999000099990002e-05
Gene Expression (Transcription),0.17612247149195204,9.999000099990002e-05
Defective Pyroptosis,0.17481044413049385,0.00039996000399960006
RNA Polymerase II Transcription,0.1745351895540438,9.999000099990002e-05
Polymerase Switching on the C-strand of the Telomere,0.17443259648373188,0.0012998700129987
PCNA-Dependent Long Patch Base Excision Repair,0.1737641195561077,0.0028997100289971
Negative Regulation of Protein Metabolic Process (GO:0051248),0.173168440237485,9.999000099990002e-05
Positive Regulation of Cell Cycle G2/M Phase Transition (GO:1902751),0.1717464583766446,0.0025997400259974
DNA Replication (GO:0006260),0.16962411154187296,9.999000099990002e-05
Resolution of AP Sites via the Multiple-Nucleotide Patch Replacement Pathway,0.16788809475188893,0.0020997900209979003
Mitotic Cell Cycle Phase Transition (GO:0044772),0.166536451920116,9.999000099990002e-05
DNA Strand Elongation Involved in DNA Replication (GO:0006271),0.16619724059106866,0.020897910208979104
Generic Transcription Pathway,0.1660544297626919,9.999000099990002e-05
Pyrimidine Salvage,0.16500673496877427,0.027097290270972903
Processive Synthesis on the C-strand of the Telomere,0.16473183489531062,0.0071992800719928
E2F Targets,0.1608183874948581,9.999000099990002e-05
Nucleotide Biosynthetic Process (GO:0009165),0.15969727280150237,0.012698730126987301
Mitotic DNA Replication (GO:1902969),0.15828571428571425,0.0400959904009599
Cell Cycle G1/S Phase Transition (GO:0044843),0.15731150249113324,9.999000099990002e-05
Negative Regulation of Gene Expression (GO:0010629),0.15653076594445103,9.999000099990002e-05
p53 signaling pathway,0.15604157289578136,9.999000099990002e-05
Response to Light Stimulus (GO:0009416),0.15556652849154284,0.00019998000199980003
Positive Regulation of Mitotic Cell Cycle Phase Transition (GO:1901992),0.1530727495355514,9.999000099990002e-05
G1/S Transition of Mitotic Cell Cycle (GO:0000082),0.15266666666666673,9.999000099990002e-05
Leading Strand Synthesis,0.15242138658206594,0.022497750224977502
Polymerase Switching,0.15242138658206594,0.022497750224977502
DNA-templated DNA Replication (GO:0006261),0.15156168599086495,0.00019998000199980003
Interconversion of Nucleotide Di- and Triphosphates,0.1512904448065988,0.0018998100189981002
Nucleotide Salvage,0.15096633601615628,0.0072992700729927005
Pyrimidine metabolism,0.1488979758740544,9.999000099990002e-05
Telomere Maintenance,0.14856580024559962,9.999000099990002e-05
Positive Regulation of G1/S Transition of Mitotic Cell Cycle (GO:1900087),0.14743851621864534,0.0014998500149985001
Positive Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010971),0.14504683782871908,0.014298570142985701
DNA Biosynthetic Process (GO:0071897),0.14391987146387564,0.019598040195980403
Inhibition of Replication Initiation of Damaged DNA by RB1 E2F1,0.14254649705929456,0.0354964503549645
Telomere C-strand (Lagging Strand) Synthesis,0.142095978773925,0.0023997600239976003
DNA Strand Elongation (GO:0022616),0.14008966718371563,0.046495350464953504
Mismatch Repair (MMR) Directed by MSH2 MSH6 (MutSalpha),0.1400753475786134,0.0336966303369663
Mismatch repair,0.1375574617232569,0.012098790120987902
Chromosome Maintenance,0.13709934537224022,9.999000099990002e-05
Positive Regulation of Cell Cycle G1/S Phase Transition (GO:1902808),0.13614575305355103,0.0011998800119988001
Mismatch Repair,0.1359638021364904,0.032296770322967704
DNA replication,0.13569729327267932,0.0021997800219978004
DNA-templated DNA Replication Maintenance of Fidelity (GO:0045005),0.12873665895980757,0.0016998300169983002
Nucleobase-Containing Small Molecule Metabolic Process (GO:0055086),0.12853252189701259,0.034096590340965904
Extension of Telomeres,0.12798937040065417,0.0012998700129987
Positive Regulation of Cell Cycle Process (GO:0090068),0.12677029230433257,9.999000099990002e-05
Lagging Strand Synthesis,0.126547570436913,0.024897510248975102
Metabolism of Nucleotides,0.12611542020124356,9.999000099990002e-05
E2F Mediated Regulation of DNA Replication,0.11781466246918715,0.028397160283971604
Nucleoside Phosphate Biosynthetic Process (GO:1901293),0.11772778412905804,0.041495850414958506
Glutathione metabolism,0.09882502044153718,0.008099190080991902
G1 S-Specific Transcription,0.0951121523685039,0.0433956604339566
Purine metabolism,0.0819542003253736,0.0007999200079992001
