,total_singscore,p_value
One-Carbon Metabolic Process (GO:0006730),0.2951265306122448,0.0004999500049995
Myc Targets V1,0.2882062937062936,9.999000099990002e-05
UV-damage Excision Repair (GO:0070914),0.28340488851121937,0.00019998000199980003
Regulation of Translation (GO:0006417),0.2708852344474726,9.999000099990002e-05
Tetrahydrofolate Metabolic Process (GO:0046653),0.26652244897959176,0.0008999100089991
"Base-Excision Repair, Gap-Filling (GO:0006287)",0.2598157995317063,0.0005999400059994001
Global Genome Nucleotide Excision Repair (GG-NER),0.2510698007197639,9.999000099990002e-05
Dual Incision in GG-NER,0.24981783820045078,9.999000099990002e-05
Nucleotide Excision Repair,0.2467496592568308,9.999000099990002e-05
Mitochondrial DNA Replication (GO:0006264),0.24621183411943737,0.009999000099990002
Transcription-Coupled Nucleotide Excision Repair (TC-NER),0.24386424438767373,9.999000099990002e-05
Recognition of DNA Damage by PCNA-containing Replication Complex,0.2397140522875817,9.999000099990002e-05
Dual Incision in TC-NER,0.23461605637332728,9.999000099990002e-05
Transcriptional Regulation by E2F6,0.23051392480509125,9.999000099990002e-05
DNA Damage Bypass,0.22876189051463736,9.999000099990002e-05
Base-Excision Repair (GO:0006284),0.2275414652191119,9.999000099990002e-05
Double-Strand Break Repair via Nonhomologous End Joining (GO:0006303),0.22595935109619814,9.999000099990002e-05
Translesion Synthesis (GO:0019985),0.22555268900445835,9.999000099990002e-05
Gap-filling DNA Repair Synthesis and Ligation in TC-NER,0.22549571968417492,9.999000099990002e-05
Tetrahydrofolate Interconversion (GO:0035999),0.22505169224072263,0.027297270272972702
Gap-filling DNA Repair Synthesis and Ligation in GG-NER,0.22357933428629773,9.999000099990002e-05
Nucleotide-Excision Repair (GO:0006289),0.22014494441920007,9.999000099990002e-05
Response to UV (GO:0009411),0.21976869022057388,9.999000099990002e-05
mTORC1 Signaling,0.21892287124640064,9.999000099990002e-05
Base excision repair,0.21657375322040107,9.999000099990002e-05
Cytosolic Iron-Sulfur Cluster Assembly,0.2137640087797249,0.0028997100289971
Translesion Synthesis by Y Family DNA Polymerases Bypasses Lesions on DNA Template,0.2135910428244524,9.999000099990002e-05
S Phase,0.21274886777165292,9.999000099990002e-05
Regulation of G0 to G1 Transition (GO:0070316),0.2116396015544595,9.999000099990002e-05
Negative Regulation of Translation (GO:0017148),0.20793567898200493,9.999000099990002e-05
