,total_singscore,p_value
DNA Repair,0.2036717641585657,9.999000099990002e-05
G2-M Checkpoint,0.1769744960921431,9.999000099990002e-05
mTORC1 Signaling,0.21892287124640064,9.999000099990002e-05
E2F Targets,0.1608183874948581,9.999000099990002e-05
Myc Targets V1,0.2882062937062936,9.999000099990002e-05
Base excision repair,0.21657375322040107,9.999000099990002e-05
DNA replication,0.13569729327267932,0.0021997800219978004
Drug metabolism,0.012664395515741611,0.3467653234676532
Glutathione metabolism,0.09882502044153718,0.008099190080991902
Homologous recombination,0.20256242592668272,9.999000099990002e-05
Mismatch repair,0.1375574617232569,0.012098790120987902
Nucleotide excision repair,0.2028748542667842,9.999000099990002e-05
One carbon pool by folate,0.17837076357697013,0.0030996900309969004
Purine metabolism,0.0819542003253736,0.0007999200079992001
Pyrimidine metabolism,0.1488979758740544,9.999000099990002e-05
p53 signaling pathway,0.15604157289578136,9.999000099990002e-05
Activation of the Pre-Replicative Complex,0.07680246514662503,0.0670932906709329
Base Excision Repair,0.18549761417859578,9.999000099990002e-05
Cell Cycle,0.18298779061964598,9.999000099990002e-05
"Cell Cycle, Mitotic",0.1884735584349989,9.999000099990002e-05
Chromosome Maintenance,0.13709934537224022,9.999000099990002e-05
Cytosolic Iron-Sulfur Cluster Assembly,0.2137640087797249,0.0028997100289971
DNA Damage Bypass,0.22876189051463736,9.999000099990002e-05
DNA Double-Strand Break Repair,0.19573890614924683,9.999000099990002e-05
DNA Replication,0.1856259859910393,9.999000099990002e-05
DNA Replication Pre-Initiation,0.20454194023250127,9.999000099990002e-05
DNA Replication Initiation,0.15701269284140074,0.06109389061093891
DNA Strand Elongation,0.08407932633385085,0.05449455054494551
Defective Pyroptosis,0.17481044413049385,0.00039996000399960006
Diseases of Programmed Cell Death,0.1987395753111204,9.999000099990002e-05
Dual Incision in GG-NER,0.24981783820045078,9.999000099990002e-05
Dual Incision in TC-NER,0.23461605637332728,9.999000099990002e-05
E2F Mediated Regulation of DNA Replication,0.11781466246918715,0.028397160283971604
Extension of Telomeres,0.12798937040065417,0.0012998700129987
G1 S Transition,0.1978109197758644,9.999000099990002e-05
G1 S-Specific Transcription,0.0951121523685039,0.0433956604339566
