,total_singscore,p_value
Protein Secretion,0.29524235532513443,9.999000099990002e-05
Myc Targets V1,0.2882062937062936,9.999000099990002e-05
Unfolded Protein Response,0.26513370533884506,9.999000099990002e-05
Androgen Response,0.2574830209188024,9.999000099990002e-05
TGF-beta Signaling,0.250567692181888,9.999000099990002e-05
Oxidative Phosphorylation,0.2355020567667626,9.999000099990002e-05
PI3K/AKT/mTOR  Signaling,0.2343030833051759,9.999000099990002e-05
Mitotic Spindle,0.23076831651160246,9.999000099990002e-05
mTORC1 Signaling,0.21892287124640064,9.999000099990002e-05
UV Response Dn,0.21594241064507003,9.999000099990002e-05
Adipogenesis,0.20298865847292746,9.999000099990002e-05
DNA Repair,0.19901969508420458,9.999000099990002e-05
Apoptosis,0.1894911030622598,9.999000099990002e-05
Myc Targets V2,0.18535610936556912,9.999000099990002e-05
Cholesterol Homeostasis,0.18045143760780447,9.999000099990002e-05
Hedgehog Signaling,0.17853185612714972,0.00019998000199980003
G2-M Checkpoint,0.1769744960921431,9.999000099990002e-05
Estrogen Response Early,0.17636459503208424,9.999000099990002e-05
Epithelial Mesenchymal Transition,0.1659121244208679,9.999000099990002e-05
E2F Targets,0.1608183874948581,9.999000099990002e-05
p53 Pathway,0.1592839893294984,9.999000099990002e-05
Hypoxia,0.1571318958804322,9.999000099990002e-05
UV Response Up,0.1556695168782538,9.999000099990002e-05
Wnt-beta Catenin Signaling,0.15545354051766846,0.00029997000299970003
Glycolysis,0.15461991327747682,9.999000099990002e-05
Reactive Oxygen Species Pathway,0.15375037473087505,0.00029997000299970003
heme Metabolism,0.1475834183902488,9.999000099990002e-05
Estrogen Response Late,0.14463090066431405,9.999000099990002e-05
Fatty Acid Metabolism,0.14340530925013684,9.999000099990002e-05
Interferon Alpha Response,0.13228903309500895,9.999000099990002e-05
Notch Signaling,0.1300721566304437,0.005099490050994901
Angiogenesis,0.12705734714723482,0.0040995900409959
Apical Junction,0.11832646041496453,9.999000099990002e-05
Pperoxisome,0.11446210569438753,0.00019998000199980003
Interferon Gamma Response,0.10803534802300996,9.999000099990002e-05
Myogenesis,0.10529268495398059,9.999000099990002e-05
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Complement,0.09346060916742926,9.999000099990002e-05
TNF-alpha Signaling via NF-kB,0.08483363660662879,9.999000099990002e-05
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Coagulation,0.07381066868270236,0.0020997900209979003
