,total_singscore,p_value
Transmission Across Chemical Synapses,0.038776654653179476,0.019098090190980903
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Regulation of ERK1 and ERK2 Cascade (GO:0070372),0.04345273320657006,0.0160983901609839
Response to Lipopolysaccharide (GO:0032496),0.0468045078934185,0.029997000299970003
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Positive Regulation of Cytokine Production (GO:0001819),0.04906765196841534,0.0025997400259974
Positive Regulation of Epithelial Cell Proliferation (GO:0050679),0.04925083657720419,0.041495850414958506
Nervous System Development (GO:0007399),0.05021780831585099,0.00019998000199980003
Natural killer cell mediated cytotoxicity,0.0521808206775386,0.0420957904209579
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Regulation of JNK Cascade (GO:0046328),0.057729059833237395,0.0202979702029797
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.058970937200671925,0.04839516048395161
Cellular Response to Hormone Stimulus (GO:0032870),0.06054171710687861,0.0354964503549645
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Generation of Neurons (GO:0048699),0.062415640667673244,0.003999600039996
Regulation of MAP Kinase Activity (GO:0043405),0.06248913421418634,0.0415958404159584
Cholinergic synapse,0.06300058752840687,0.013498650134986502
Axon Guidance (GO:0007411),0.06324343504147079,0.004299570042995701
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Regulation of Epithelial Cell Proliferation (GO:0050678),0.06640464506735333,0.017998200179982
Gastric cancer,0.0669571076846579,0.0037996200379962005
Positive Regulation of Cell Adhesion (GO:0045785),0.06718714703077555,0.0182981701829817
Breast cancer,0.06730990092762035,0.0040995900409959
Positive Regulation of Neuron Projection Development (GO:0010976),0.0690645641301385,0.010198980101989802
Regulation of Phagocytosis (GO:0050764),0.06910243304027808,0.0390960903909609
Transport of Small Molecules,0.06987792347855237,9.999000099990002e-05
Neuron Projection Guidance (GO:0097485),0.07140107533913986,0.0027997200279972004
Positive Regulation of Signal Transduction (GO:0009967),0.07244104641633109,0.00029997000299970003
Coagulation,0.07381066868270236,0.0020997900209979003
Insulin secretion,0.07418887706759048,0.0150984901509849
Axonogenesis (GO:0007409),0.07460743595677033,0.00019998000199980003
Activation of NMDA Receptors and Postsynaptic Events,0.07525954616180641,0.006899310068993101
Positive Regulation of T Cell Activation (GO:0050870),0.07533264001979623,0.0036996300369963003
Positive Regulation of DNA-binding Transcription Factor Activity (GO:0051091),0.07692876895528677,0.00019998000199980003
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
Hemostasis,0.07726984176978247,9.999000099990002e-05
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.0786189516776884,0.0027997200279972004
Regulation of Non-Canonical NF-kappaB Signal Transduction (GO:1901222),0.0810058116759147,0.011898810118988102
Osteoclast differentiation,0.08178906194193913,0.0007999200079992001
Peptidyl-Tyrosine Phosphorylation (GO:0018108),0.08393858850207248,0.0168983101689831
Peptidyl-Tyrosine Modification (GO:0018212),0.08473828825760155,0.024297570242975703
TNF-alpha Signaling via NF-kB,0.08483363660662879,9.999000099990002e-05
Positive Regulation of Cellular Process (GO:0048522),0.08729270572035874,9.999000099990002e-05
Regulation of Angiogenesis (GO:0045765),0.08730107509873086,9.999000099990002e-05
Netrin-1 Signaling,0.08748899802537613,0.025697430256974303
Parasite Infection,0.0885661606933501,0.0036996300369963003
FCGR3A-mediated Phagocytosis,0.0885661606933501,0.0036996300369963003
Leishmania Phagocytosis,0.0885661606933501,0.0036996300369963003
