,total_singscore,p_value
TNF-alpha Signaling via NF-kB,0.08483363660662879,9.999000099990002e-05
Estrogen Response Early,0.17636459503208424,9.999000099990002e-05
Androgen Response,0.2574830209188024,9.999000099990002e-05
Complement,0.09346060916742926,9.999000099990002e-05
Unfolded Protein Response,0.26513370533884506,9.999000099990002e-05
E2F Targets,0.1608183874948581,9.999000099990002e-05
Inflammatory Response,0.00036978390297293107,0.49085091490850913
UV Response Up,0.1556695168782538,9.999000099990002e-05
UV Response Dn,0.21594241064507003,9.999000099990002e-05
Coagulation,0.07381066868270236,0.0020997900209979003
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Bile Acid Metabolism,0.03906150108681761,0.09259074092590741
Pperoxisome,0.11446210569438753,0.00019998000199980003
KRAS Signaling Up,0.027096560858132168,0.09929007099290071
KRAS Signaling Dn,-0.07848330596606456,0.9996000399960004
ABC transporters,0.019475388651455372,0.3357664233576642
Adherens junction,0.24066577039981285,9.999000099990002e-05
Alzheimer disease,0.15449437510587916,9.999000099990002e-05
Amyotrophic lateral sclerosis,0.18552936205073411,9.999000099990002e-05
Autophagy,0.2188468626986667,9.999000099990002e-05
Axon guidance,0.08901241597933607,0.00019998000199980003
Bile secretion,-0.06308583854078703,0.9568043195680432
Bladder cancer,0.21258810795405136,9.999000099990002e-05
Breast cancer,0.06730990092762035,0.0040995900409959
Calcium signaling pathway,-0.023111164228380554,0.8793120687931207
Central carbon metabolism in cancer,0.1478536222606217,9.999000099990002e-05
Cholesterol metabolism,0.06901322236595853,0.05729427057294271
Cholinergic synapse,0.06300058752840687,0.013498650134986502
Endometrial cancer,0.22357172673274017,9.999000099990002e-05
ErbB signaling pathway,0.1524747205960617,9.999000099990002e-05
Fc epsilon RI signaling pathway,0.13531616808816072,0.00019998000199980003
Focal adhesion,0.15631667654311865,9.999000099990002e-05
Gap junction,0.10591639377814166,0.0006999300069993001
Gastric cancer,0.0669571076846579,0.0037996200379962005
HIF-1 signaling pathway,0.17757075790001342,9.999000099990002e-05
Huntington disease,0.1801503449089087,9.999000099990002e-05
Inflammatory bowel disease,0.02392599379994853,0.2792720727927207
Insulin secretion,0.07418887706759048,0.0150984901509849
MAPK signaling pathway,0.12473694245458122,9.999000099990002e-05
MicroRNAs in cancer,0.13099511222891846,9.999000099990002e-05
NOD-like receptor signaling pathway,0.14512592949449044,9.999000099990002e-05
Natural killer cell mediated cytotoxicity,0.0521808206775386,0.0420957904209579
Neuroactive ligand-receptor interaction,-0.19525534106098125,1.0
Non-small cell lung cancer,0.14829304811231647,9.999000099990002e-05
Osteoclast differentiation,0.08178906194193913,0.0007999200079992001
PI3K-Akt signaling pathway,0.11739018473432172,9.999000099990002e-05
Pancreatic cancer,0.22596694424938502,9.999000099990002e-05
Pancreatic secretion,-0.01965560058400534,0.7337266273372662
Parkinson disease,0.19856417999222198,9.999000099990002e-05
Pathogenic Escherichia coli infection,0.14948906974806253,9.999000099990002e-05
Pathways in cancer,0.10544631710362051,9.999000099990002e-05
Pathways of neurodegeneration,0.14720003353299305,9.999000099990002e-05
Phagosome,0.14690832431214462,9.999000099990002e-05
Phospholipase D signaling pathway,0.10521982531215202,9.999000099990002e-05
Platelet activation,0.1251365410165045,9.999000099990002e-05
Prion disease,0.15523566647634823,9.999000099990002e-05
Prostate cancer,0.2147611328437221,9.999000099990002e-05
Proteoglycans in cancer,0.16178152500205611,9.999000099990002e-05
Salmonella infection,0.19769342207607332,9.999000099990002e-05
Sphingolipid signaling pathway,0.14721610458196333,9.999000099990002e-05
T cell receptor signaling pathway,0.10794210959937267,0.00019998000199980003
TNF signaling pathway,0.10830769619638458,9.999000099990002e-05
Tight junction,0.14401359179294404,9.999000099990002e-05
Tuberculosis,0.138885748838122,9.999000099990002e-05
Viral myocarditis,0.10072999312975939,0.006399360063993601
cGMP-PKG signaling pathway,0.08961858477156648,0.00019998000199980003
ABC Transporter Disorders,0.2138461498505676,9.999000099990002e-05
ABC-family Proteins Mediated Transport,0.18985754430650204,9.999000099990002e-05
AURKA Activation by TPX2,0.21025588861949474,9.999000099990002e-05
Abacavir ADME,-0.16957799363317283,0.9514048595140486
Abacavir Transmembrane Transport,-0.29508671699653133,0.9916008399160084
Activated NTRK2 Signals Through FYN,0.1180642603529597,0.1414858514148585
Activation of AMPK Downstream of NMDARs,0.0934637533183581,0.054894510548945105
Activation of NMDA Receptors and Postsynaptic Events,0.07525954616180641,0.006899310068993101
Adaptive Immune System,0.13193845425494144,9.999000099990002e-05
Aggrephagy,0.2002944288639218,9.999000099990002e-05
Anchoring of the Basal Body to the Plasma Membrane,0.22505060279620992,9.999000099990002e-05
Anti-inflammatory Response Favouring Leishmania Parasite Infection,0.02941088884091103,0.16948305169483052
Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,0.04782898000875535,0.16748325167483252
Antiviral Mechanism by IFN-stimulated Genes,0.20974835387901936,9.999000099990002e-05
Asparagine N-linked Glycosylation,0.22082047477225564,9.999000099990002e-05
Assembly and Cell Surface Presentation of NMDA Receptors,0.008174511116769256,0.43425657434256576
Atorvastatin ADME,-0.07962645554467296,0.7487251274872513
Axon Guidance,0.1952546602296138,9.999000099990002e-05
