,total_singscore,p_value
Transmission Across Chemical Synapses,0.038776654653179476,0.019098090190980903
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Nervous System Development (GO:0007399),0.05021780831585099,0.00019998000199980003
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
JAK-STAT signaling pathway,0.053292925979085526,0.021497850214978503
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.058970937200671925,0.04839516048395161
Chemokine signaling pathway,0.059436135850183924,0.0035996400359964
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Generation of Neurons (GO:0048699),0.062415640667673244,0.003999600039996
Regulation of MAP Kinase Activity (GO:0043405),0.06248913421418634,0.0415958404159584
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Regulation of Epithelial Cell Proliferation (GO:0050678),0.06640464506735333,0.017998200179982
Gastric cancer,0.0669571076846579,0.0037996200379962005
Signaling pathways regulating pluripotency of stem cells,0.0672916957145786,0.004899510048995101
Breast cancer,0.06730990092762035,0.0040995900409959
Th1 and Th2 cell differentiation,0.06867519080463447,0.0156984301569843
Chemical carcinogenesis,0.07174683807847548,0.00029997000299970003
IGF1R Signaling Cascade,0.07224016021580082,0.04839516048395161
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),0.07293777900700515,0.0004999500049995
Negative Regulation of Cell Cycle (GO:0045786),0.07443682875027458,0.012198780121987801
Activation of NMDA Receptors and Postsynaptic Events,0.07525954616180641,0.006899310068993101
Cellular Response to Cytokine Stimulus (GO:0071345),0.07656277836888947,9.999000099990002e-05
Regulation of Osteoblast Differentiation (GO:0045667),0.07700932934425386,0.006799320067993201
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
Hemostasis,0.07726984176978247,9.999000099990002e-05
Hippo signaling pathway,0.07730762831621296,0.00029997000299970003
Hemopoiesis (GO:0030097),0.07742846442198048,0.0029997000299970002
Wnt signaling pathway,0.07757567722882552,0.00039996000399960006
Interleukin-2 Family Signaling,0.07787310094458111,0.049295070492950704
B Cell Differentiation (GO:0030183),0.08067360871825124,0.025197480251974803
Insulin Receptor Signalling Cascade,0.08160211202187817,0.029897010298970104
Lymphocyte Differentiation (GO:0030098),0.08190235106251131,0.0091990800919908
Peptidyl-Tyrosine Phosphorylation (GO:0018108),0.08393858850207248,0.0168983101689831
Ras signaling pathway,0.08451641424758005,9.999000099990002e-05
Regulation of Cell Motility (GO:2000145),0.08469478346552717,0.0010998900109989002
Peptidyl-Tyrosine Modification (GO:0018212),0.08473828825760155,0.024297570242975703
TNF-alpha Signaling via NF-kB,0.08483363660662879,9.999000099990002e-05
Regulation of Macromolecule Biosynthetic Process (GO:0010556),0.08576253354544217,9.999000099990002e-05
Positive Regulation of Cellular Process (GO:0048522),0.08729270572035874,9.999000099990002e-05
Regulation of Cellular Senescence (GO:2000772),0.08763098496609201,0.046295370462953706
Regulation of Cell Population Proliferation (GO:0042127),0.09064230092456438,9.999000099990002e-05
Regulation of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction (GO:0051896),0.09171383458838611,9.999000099990002e-05
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),0.09310750519496391,9.999000099990002e-05
Cushing syndrome,0.09455651875914062,9.999000099990002e-05
Negative Regulation of Osteoblast Differentiation (GO:0045668),0.09608500490236127,0.030796920307969204
Negative Regulation of Cell Differentiation (GO:0045596),0.09735572685930505,9.999000099990002e-05
Viral myocarditis,0.10072999312975939,0.006399360063993601
Th17 cell differentiation,0.10189184819513464,0.00029997000299970003
Reproduction,0.10226995841745634,0.00029997000299970003
Post NMDA Receptor Activation Events,0.10264811404406249,0.0008999100089991
Positive Regulation of Cell Differentiation (GO:0045597),0.10284390613036853,9.999000099990002e-05
Positive Regulation of Gene Expression (GO:0010628),0.10439632722720049,9.999000099990002e-05
Pathways in cancer,0.10544631710362051,9.999000099990002e-05
L1CAM Interactions,0.10579207019634906,9.999000099990002e-05
Negative Regulation of Cell Population Proliferation (GO:0008285),0.10588220378473501,9.999000099990002e-05
Positive Regulation of Intracellular Signal Transduction (GO:1902533),0.10630728226896025,9.999000099990002e-05
Factors Involved in Megakaryocyte Development and Platelet Production,0.10778754521052225,9.999000099990002e-05
T cell receptor signaling pathway,0.10794210959937267,0.00019998000199980003
CREB1 Phosphorylation Through NMDA Receptor-Mediated Activation of RAS Signaling,0.1101346209993026,0.025997400259974
Regulation of Receptor Signaling Pathway via JAK-STAT (GO:0046425),0.11120999085930006,0.0046995300469953
RAF MAP Kinase Cascade,0.11281647126397043,9.999000099990002e-05
Negative Regulation of Developmental Process (GO:0051093),0.11310610556323775,9.999000099990002e-05
Oxytocin signaling pathway,0.1132290872853039,9.999000099990002e-05
Positive Regulation of Cell-Substrate Adhesion (GO:0010811),0.11369893673859366,0.0006999300069993001
MAPK1 MAPK3 Signaling,0.11389811174246356,9.999000099990002e-05
Regulation of Fibroblast Proliferation (GO:0048145),0.11736812226082605,0.0033996600339966003
PI3K-Akt signaling pathway,0.11739018473432172,9.999000099990002e-05
Negative Regulation of Cellular Process (GO:0048523),0.11804257508910809,9.999000099990002e-05
Influenza A,0.12027946199161366,9.999000099990002e-05
Negative Regulation of Epithelial Cell Proliferation (GO:0050680),0.12113069595729631,0.00029997000299970003
MAPK Family Signaling Cascades,0.1236884250231528,9.999000099990002e-05
MAPK signaling pathway,0.12473694245458122,9.999000099990002e-05
Innate Immune System,0.12484469968592782,9.999000099990002e-05
Apelin signaling pathway,0.12486450774046143,9.999000099990002e-05
Estrogen-dependent Nuclear Events Downstream of ESR-membrane Signaling,0.12527736938114298,0.0173982601739826
Melanoma,0.12667043151494672,0.00039996000399960006
Aberrant Regulation of Mitotic G1 S Transition in Cancer Due to RB1 Defects,0.12686818082477347,0.036096390360963904
"Defective Binding of RB1 Mutants to E2F1,(E2F2, E2F3)",0.12686818082477347,0.036096390360963904
G0 and Early G1,0.12687877797745462,0.012698730126987301
"Interleukin-3, Interleukin-5 and GM-CSF Signaling",0.12721983786361468,0.0017998200179982
Peptidyl-Threonine Modification (GO:0018210),0.12778911509665125,0.0017998200179982
Regulation of DNA Replication (GO:0006275),0.12785566424676043,9.999000099990002e-05
Extension of Telomeres,0.12798937040065417,0.0012998700129987
