,total_singscore,p_value
Transmission Across Chemical Synapses,0.038776654653179476,0.019098090190980903
"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.04939506049395061
Nervous System Development (GO:0007399),0.05021780831585099,0.00019998000199980003
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Negative Regulation of the PI3K AKT Network,0.05279253633026448,0.031796820317968204
JAK-STAT signaling pathway,0.053292925979085526,0.021497850214978503
PI3K AKT Signaling in Cancer,0.05615720516789702,0.027697230276972302
Negative Regulation of Cytokine Production (GO:0001818),0.058317264417591774,0.003999600039996
Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.058970937200671925,0.04839516048395161
Chemokine signaling pathway,0.059436135850183924,0.0035996400359964
Positive Regulation of Cell Population Proliferation (GO:0008284),0.06054583851426676,9.999000099990002e-05
Generation of Neurons (GO:0048699),0.062415640667673244,0.003999600039996
Regulation of MAP Kinase Activity (GO:0043405),0.06248913421418634,0.0415958404159584
Regulation of MAPK Cascade (GO:0043408),0.06604090532731632,0.00039996000399960006
Regulation of Epithelial Cell Proliferation (GO:0050678),0.06640464506735333,0.017998200179982
Gastric cancer,0.0669571076846579,0.0037996200379962005
Signaling pathways regulating pluripotency of stem cells,0.0672916957145786,0.004899510048995101
Breast cancer,0.06730990092762035,0.0040995900409959
Th1 and Th2 cell differentiation,0.06867519080463447,0.0156984301569843
Chemical carcinogenesis,0.07174683807847548,0.00029997000299970003
IGF1R Signaling Cascade,0.07224016021580082,0.04839516048395161
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897),0.07293777900700515,0.0004999500049995
Negative Regulation of Cell Cycle (GO:0045786),0.07443682875027458,0.012198780121987801
Activation of NMDA Receptors and Postsynaptic Events,0.07525954616180641,0.006899310068993101
Cellular Response to Cytokine Stimulus (GO:0071345),0.07656277836888947,9.999000099990002e-05
Regulation of Osteoblast Differentiation (GO:0045667),0.07700932934425386,0.006799320067993201
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
Hemostasis,0.07726984176978247,9.999000099990002e-05
Hippo signaling pathway,0.07730762831621296,0.00029997000299970003
Hemopoiesis (GO:0030097),0.07742846442198048,0.0029997000299970002
