set_name,Doxorubicin,Fulvestrant,Gemcitabine,Paclitaxel,Zoledronic Acid,Palbociclib
TNF-alpha Signaling via NF-kB,0.0,0.0,0.0,0.004545454545454545,0.0,0.004784688995215311
Hypoxia,0.0,0.0,0.0,0.0,0.004761904761904762,0.0
Cholesterol Homeostasis,0.0,0.0,0.0,0.0,0.011904761904761904,0.0
Mitotic Spindle,0.009174311926605505,0.0,0.0,0.0,0.0,0.0
Wnt-beta Catenin Signaling,0.0,0.0,0.0,0.0,0.0,0.0
TGF-beta Signaling,0.0,0.0,0.0,0.0,0.0,0.015873015873015872
IL-6/JAK/STAT3 Signaling,0.0,0.0,0.0,0.0,0.0,0.0
DNA Repair,0.0,0.0,0.006289308176100629,0.0,0.0,0.00625
G2-M Checkpoint,0.013761467889908258,0.0,0.004830917874396135,0.0,0.0,0.014492753623188406
Apoptosis,0.0,0.0,0.0,0.0,0.0,0.0
Notch Signaling,0.0,0.0,0.0,0.0,0.0,0.024390243902439025
Adipogenesis,0.0,0.0,0.0,0.0,0.0,0.008403361344537815
Estrogen Response Early,0.0,0.004830917874396135,0.0,0.004545454545454545,0.004761904761904762,0.004784688995215311
Estrogen Response Late,0.004545454545454545,0.009708737864077669,0.0,0.0,0.009569377990430622,0.004784688995215311
Androgen Response,0.0,0.0,0.0,0.008333333333333333,0.0,0.018518518518518517
Myogenesis,0.0,0.0,0.0,0.0,0.0,0.0
Protein Secretion,0.0,0.0,0.0,0.0,0.0,0.0
Interferon Alpha Response,0.008547008547008548,0.0,0.0,0.0,0.0,0.0
Interferon Gamma Response,0.004545454545454545,0.0,0.0,0.0,0.0,0.0
Apical Junction,0.004545454545454545,0.0,0.0,0.0,0.009569377990430622,0.0
Apical Surface,0.0,0.0,0.0,0.0,0.0,0.0
Hedgehog Signaling,0.0,0.0,0.0,0.0,0.0,0.022222222222222223
Complement,0.013761467889908258,0.0,0.0,0.004545454545454545,0.014423076923076924,0.0
Unfolded Protein Response,0.0,0.0,0.0,0.007518796992481203,0.0,0.0
PI3K/AKT/mTOR  Signaling,0.008,0.0,0.0,0.0,0.0,0.026785714285714284
mTORC1 Signaling,0.004545454545454545,0.0,0.004830917874396135,0.0,0.0,0.0
E2F Targets,0.0091324200913242,0.0,0.0196078431372549,0.004545454545454545,0.0,0.004784688995215311
Myc Targets V1,0.0,0.0,0.009708737864077669,0.0,0.0,0.014492753623188406
Myc Targets V2,0.0,0.0,0.0,0.0,0.0,0.014925373134328358
