drug,pathways,total_singscore,p_value
Doxorubicin,Lipid Metabolic Process (GO:0006629),0.0417539205421112,0.015998400159984
Doxorubicin,Regulation of ERK1 and ERK2 Cascade (GO:0070372),0.04345273320657,0.0160983901609839
Doxorubicin,Fatty Acid Metabolism,0.0465737792787264,0.0191980801919808
Doxorubicin,Response to Lipopolysaccharide (GO:0032496),0.0468045078934185,0.02999700029997
Doxorubicin,"PI5P, PP2A and IER3 Regulate PI3K AKT Signaling",0.0485716200967522,0.0493950604939506
Doxorubicin,Positive Regulation of Cytokine Production (GO:0001819),0.0490676519684153,0.0025997400259974
Doxorubicin,Positive Regulation of Epithelial Cell Proliferation (GO:0050679),0.0492508365772041,0.0414958504149585
Doxorubicin,Positive Regulation of Multicellular Organismal Process (GO:0051240),0.0497285811832324,0.0004999500049995
Doxorubicin,Nervous System Development (GO:0007399),0.0502178083158509,0.0001999800019998
Doxorubicin,Natural killer cell mediated cytotoxicity,0.0521808206775386,0.0420957904209579
Doxorubicin,Cellular Response to Oxygen-Containing Compound (GO:1901701),0.0527843835839184,0.0002999700029997
Doxorubicin,Negative Regulation of the PI3K AKT Network,0.0527925363302644,0.0317968203179682
Doxorubicin,Sphingolipid Biosynthetic Process (GO:0030148),0.0552758677144727,0.0474952504749525
Doxorubicin,PI3K AKT Signaling in Cancer,0.056157205167897,0.0276972302769723
Doxorubicin,Negative Regulation of Cytokine Production (GO:0001818),0.0583172644175917,0.003999600039996
Doxorubicin,Positive Regulation of Protein Serine/Threonine Kinase Activity (GO:0071902),0.0589709372006719,0.0483951604839516
Doxorubicin,Positive Regulation of Cell Population Proliferation (GO:0008284),0.0605458385142667,9.999000099990002e-05
Doxorubicin,Generation of Neurons (GO:0048699),0.0624156406676732,0.003999600039996
Doxorubicin,Regulation of MAP Kinase Activity (GO:0043405),0.0624891342141863,0.0415958404159584
Doxorubicin,Regulation of Wnt Signaling Pathway (GO:0030111),0.0627550184350675,0.0144985501449855
Doxorubicin,Intracellular Monoatomic Cation Homeostasis (GO:0030003),0.0627585995063798,0.0015998400159984
Doxorubicin,Cholinergic synapse,0.0630005875284068,0.0134986501349865
Doxorubicin,Axon Guidance (GO:0007411),0.0632434350414707,0.0042995700429957
Doxorubicin,Proteolysis (GO:0006508),0.0633906772544812,0.0002999700029997
Doxorubicin,cAMP signaling pathway,0.0642176606205383,0.0008999100089991
Doxorubicin,Regulation of MAPK Cascade (GO:0043408),0.0660409053273163,0.0003999600039996
