,total_singscore,p_value
Lipid Metabolic Process (GO:0006629),0.041753920542111245,0.015998400159984
Response to Lipopolysaccharide (GO:0032496),0.0468045078934185,0.029997000299970003
Positive Regulation of Cytokine Production (GO:0001819),0.04906765196841534,0.0025997400259974
Positive Regulation of Multicellular Organismal Process (GO:0051240),0.04972858118323242,0.0004999500049995
Cellular Response to Oxygen-Containing Compound (GO:1901701),0.05278438358391846,0.00029997000299970003
Collagen Formation,0.05719640993609032,0.0342965703429657
Myeloid Leukocyte Differentiation (GO:0002573),0.060456283336217886,0.048095190480951906
Proteolysis (GO:0006508),0.06339067725448122,0.00029997000299970003
Transport of Small Molecules,0.06987792347855237,9.999000099990002e-05
Coagulation,0.07381066868270236,0.0020997900209979003
Negative Regulation of Signal Transduction (GO:0009968),0.07391953833470732,9.999000099990002e-05
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
Positive Regulation of Cytokine-Mediated Signaling Pathway (GO:0001961),0.07534258293800566,0.0423957604239576
Assembly of Collagen Fibrils and Other Multimeric Structures,0.07670720202078318,0.0206979302069793
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
Antigen Receptor-Mediated Signaling Pathway (GO:0050851),0.0786189516776884,0.0027997200279972004
Extracellular Matrix Organization,0.07896108195093332,9.999000099990002e-05
Regulation of DNA Binding (GO:0051101),0.08294014160141416,0.038396160383961604
Degradation of the Extracellular Matrix,0.0863145376255895,0.0004999500049995
Positive Regulation of Cellular Process (GO:0048522),0.08729270572035874,9.999000099990002e-05
Metabolism of Steroids,0.08870545039055266,9.999000099990002e-05
Metabolism of Lipids,0.0921825315820286,9.999000099990002e-05
IL-17 signaling pathway,0.09268096533270687,0.0025997400259974
Cell Surface Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169),0.09310750519496391,9.999000099990002e-05
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.09327759305085559,0.00019998000199980003
Complement,0.09346060916742926,9.999000099990002e-05
Collagen Degradation,0.09584193379207229,0.007099290070992901
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Endoderm Formation (GO:0001706),0.09780409140286284,0.0244975502449755
Positive Regulation of Gene Expression (GO:0010628),0.10439632722720049,9.999000099990002e-05
