,total_singscore,p_value
TGFBR3 PTM Regulation,0.3236588506395437,9.999000099990002e-05
Regulation of Receptor Binding (GO:1900120),0.3076445449828301,0.0016998300169983002
Positive Regulation of Myotube Differentiation (GO:0010831),0.2771067129157315,0.0156984301569843
Cellular Response to Hypoxia,0.2675882753919564,9.999000099990002e-05
Regulation of Gene Expression by Hypoxia-inducible Factor,0.2605131763329387,0.0020997900209979003
Regulation of Myotube Differentiation (GO:0010830),0.2546386280114332,9.999000099990002e-05
Signaling by TGFBR3,0.2545036931567055,9.999000099990002e-05
MAPK6 MAPK4 Signaling,0.24215822468400638,9.999000099990002e-05
Positive Regulation of Lymphocyte Differentiation (GO:0045621),0.24205429190826033,9.999000099990002e-05
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243),0.24195825719371422,9.999000099990002e-05
Cellular Responses to Stress,0.24169151763153818,9.999000099990002e-05
Positive Regulation of Transmembrane Transport (GO:0034764),0.24099269851637584,0.00029997000299970003
Signaling by TGFB Family Members,0.2376191765199237,9.999000099990002e-05
Regulation of Cholesterol Biosynthesis by SREBP (SREBF),0.235766249697961,9.999000099990002e-05
Cellular Responses to Stimuli,0.23434627858839696,9.999000099990002e-05
Macromolecule Catabolic Process (GO:0009057),0.23335798705978406,9.999000099990002e-05
Regulation of Monoatomic Anion Transport (GO:0044070),0.22261987349520507,0.0461953804619538
Prostate cancer,0.2147611328437221,9.999000099990002e-05
Activation of Gene Expression by SREBF (SREBP),0.2145601251780751,9.999000099990002e-05
Cellular Response to Angiotensin (GO:1904385),0.2136,0.007099290070992901
ESR-mediated Signaling,0.2130378936863424,9.999000099990002e-05
Bladder cancer,0.21258810795405136,9.999000099990002e-05
Erythrocytes Take up Oxygen and Release Carbon Dioxide,0.21129883556426166,0.036896310368963105
Regulation of Cellular Response to Stress (GO:0080135),0.20521737528428863,9.999000099990002e-05
Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001242),0.2008215818516247,9.999000099990002e-05
Axon Guidance,0.1952546602296138,9.999000099990002e-05
Cellular Responses to Mechanical Stimuli,0.19288743288743282,9.999000099990002e-05
Response of Endothelial Cells to Shear Stress,0.19288743288743282,9.999000099990002e-05
Nervous System Development,0.1925233579293122,9.999000099990002e-05
Diabetic cardiomyopathy,0.19200566948066577,9.999000099990002e-05
