,total_singscore,p_value
Hypoxia,0.1571318958804322,9.999000099990002e-05
Cholesterol Homeostasis,0.18045143760780447,9.999000099990002e-05
Estrogen Response Early,0.17636459503208424,9.999000099990002e-05
Estrogen Response Late,0.14463090066431405,9.999000099990002e-05
Apical Junction,0.11832646041496453,9.999000099990002e-05
Complement,0.09346060916742926,9.999000099990002e-05
Epithelial Mesenchymal Transition,0.1659121244208679,9.999000099990002e-05
Inflammatory Response,0.00036978390297293107,0.49085091490850913
Xenobiotic Metabolism,0.07468759857106166,0.00019998000199980003
UV Response Up,0.1556695168782538,9.999000099990002e-05
heme Metabolism,0.1475834183902488,9.999000099990002e-05
Coagulation,0.07381066868270236,0.0020997900209979003
IL-2/STAT5 Signaling,0.09624054533449267,9.999000099990002e-05
Pperoxisome,0.11446210569438753,0.00019998000199980003
Allograft Rejection,0.034736352579067376,0.0608939106089391
KRAS Signaling Up,0.027096560858132168,0.09929007099290071
AGE-RAGE signaling pathway in diabetic complications,0.1750057620157166,9.999000099990002e-05
Bile secretion,-0.06308583854078703,0.9568043195680432
Bladder cancer,0.21258810795405136,9.999000099990002e-05
Collecting duct acid secretion,0.08747855917667235,0.070992900709929
Diabetic cardiomyopathy,0.19200566948066577,9.999000099990002e-05
Estrogen signaling pathway,0.15383689236822695,9.999000099990002e-05
Fluid shear stress and atherosclerosis,0.15367977518559495,9.999000099990002e-05
Gastric acid secretion,0.029187945532521242,0.19988001199880012
GnRH signaling pathway,0.17217588847143805,9.999000099990002e-05
Hepatitis B,0.19017672604763824,9.999000099990002e-05
Human T-cell leukemia virus 1 infection,0.1631985945020037,9.999000099990002e-05
IL-17 signaling pathway,0.09268096533270687,0.0025997400259974
Influenza A,0.12027946199161366,9.999000099990002e-05
Leukocyte transendothelial migration,0.1234249421956859,9.999000099990002e-05
Lipid and atherosclerosis,0.14011983721943355,9.999000099990002e-05
MicroRNAs in cancer,0.13099511222891846,9.999000099990002e-05
Nitrogen metabolism,0.040373938602220716,0.30896910308969106
Pancreatic secretion,-0.01965560058400534,0.7337266273372662
"Parathyroid hormone synthesis, secretion and action",0.13476566980745597,9.999000099990002e-05
Pathways in cancer,0.10544631710362051,9.999000099990002e-05
Prostate cancer,0.2147611328437221,9.999000099990002e-05
Proteoglycans in cancer,0.16178152500205611,9.999000099990002e-05
Proximal tubule bicarbonate reclamation,0.06340352739674515,0.17348265173482652
Relaxin signaling pathway,0.1524798414650813,9.999000099990002e-05
TNF signaling pathway,0.10830769619638458,9.999000099990002e-05
Terpenoid backbone biosynthesis,0.12847480027323221,0.0192980701929807
Transcriptional misregulation in cancer,0.12802300751165785,9.999000099990002e-05
Activation of Matrix Metalloproteinases,-0.02078058210133682,0.6397360263973603
Activation of Gene Expression by SREBF (SREBP),0.2145601251780751,9.999000099990002e-05
Adaptive Immune System,0.13193845425494144,9.999000099990002e-05
Assembly of Collagen Fibrils and Other Multimeric Structures,0.07670720202078318,0.0206979302069793
Axon Guidance,0.1952546602296138,9.999000099990002e-05
Butyrophilin (BTN) Family Interactions,-0.025557629439420526,0.6134386561343865
Cellular Response to Hypoxia,0.2675882753919564,9.999000099990002e-05
Cellular Responses to Mechanical Stimuli,0.19288743288743282,9.999000099990002e-05
Cellular Responses to Stimuli,0.23434627858839696,9.999000099990002e-05
Cellular Responses to Stress,0.24169151763153818,9.999000099990002e-05
Cholesterol Biosynthesis,0.16289382958091858,0.0017998200179982
Collagen Degradation,0.09584193379207229,0.007099290070992901
Collagen Formation,0.05719640993609032,0.0342965703429657
Cytokine Signaling in Immune System,0.13400198587884038,9.999000099990002e-05
Degradation of the Extracellular Matrix,0.0863145376255895,0.0004999500049995
Developmental Biology,0.14714131426418042,9.999000099990002e-05
EPH-Ephrin Signaling,0.17030940030940034,9.999000099990002e-05
EPH-ephrin Mediated Repulsion of Cells,0.11093335580419983,0.0037996200379962005
ESR-mediated Signaling,0.2130378936863424,9.999000099990002e-05
Erythrocytes Take up Carbon Dioxide and Release Oxygen,0.19141632653061225,0.013998600139986002
Erythrocytes Take up Oxygen and Release Carbon Dioxide,0.21129883556426166,0.036896310368963105
Extra-nuclear Estrogen Signaling,0.13739355491139926,9.999000099990002e-05
Extracellular Matrix Organization,0.07896108195093332,9.999000099990002e-05
High Laminar Flow Shear Stress Activates Signaling by PIEZO1 and PECAM1 CDH5 KDR in Endothelial Cell,0.15996737130757743,9.999000099990002e-05
Innate Immune System,0.12484469968592782,9.999000099990002e-05
Interleukin-4 and Interleukin-13 Signaling,0.07720083763414431,0.0034996500349965005
MAPK Family Signaling Cascades,0.1236884250231528,9.999000099990002e-05
MAPK6 MAPK4 Signaling,0.24215822468400638,9.999000099990002e-05
Metabolism of Lipids,0.0921825315820286,9.999000099990002e-05
Metabolism of Steroids,0.08870545039055266,9.999000099990002e-05
Nervous System Development,0.1925233579293122,9.999000099990002e-05
Neutrophil Degranulation,0.1479188413159238,9.999000099990002e-05
O2 CO2 Exchange in Erythrocytes,0.19141632653061225,0.013998600139986002
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),0.09327759305085559,0.00019998000199980003
Regulation of Cholesterol Biosynthesis by SREBP (SREBF),0.235766249697961,9.999000099990002e-05
