Symbol	D_TGFb_R1
A2M	4.536331436
NAT1	7.64340536
NAT2	4.692182414
SERPINA3	5.630332256
AADAC	5.591266599
AAMP	8.981362067
AANAT	4.36579734
AARS1	9.55518532
ABAT	6.055401669
ABCA1	8.09896904
ABCA2	5.659416641
ABCA3	6.323374532
ABCB7	8.529074447
ABCF1	9.177539894
ABCA4	4.68313271
ABL1	8.930684577
AOC1	4.556390053
ABL2	7.730916882
ABO	5.118834236
ABR	8.522318531
ACAA1	8.694491837
ACACA	7.62899745
ACACB	5.599008687
ACADL	3.896356074
ACADM	9.437925202
ACADS	6.390315632
ACADSB	5.145279978
ACADVL	9.707755832
ACAT1	9.841487149
ACAT2	9.872299847
ASIC2	5.105030912
ASIC1	5.653831858
ACHE	5.196872636
ACLY	9.773625299
ACO1	7.981860694
ACR	5.127244909
ACO2	8.041223241
ACOX1	7.242888895
ACP1	9.542619578
ACP2	7.913772347
ACP5	5.732922649
ACP3	4.271625308
ACRV1	4.49425445
ACTA1	4.659313486
ACTA2	6.777554286
ACTB	13.66899684
ACTC1	6.563518905
ACTG2	5.735856892
ACTN4	9.740968546
ACTL6A	10.06275503
ACTN1	11.45152638
ACTN2	4.752185009
ACTN3	5.452957742
ACVR1	8.948295901
ACVR1B	7.315555541
ACVR2A	6.78314511
ACVR2B	6.239063347
ACVRL1	4.954811115
ACYP1	7.933900602
ADA	8.26356168
ADAM8	5.540122035
ADAM10	9.139282214
ADAR	10.14195657
ADARB1	6.156605535
ADARB2	4.327483638
ADCY1	5.439255835
ADCY2	5.049696127
ADCY3	7.301635137
ADCY6	6.823949532
ADCY7	6.790642974
ADCY8	4.586308198
ADCY9	6.173329216
ADCYAP1	4.356717282
ADCYAP1R1	4.625988169
ADD1	8.683181403
ADD2	5.716399551
ADD3	8.92569487
PLIN2	7.547939475
ADH1A	3.654615321
ADH1C	4.034673605
ADH5	10.40162979
ADH6	4.388722015
ADH7	4.469630117
ADK	9.82334368
ADM	9.82057305
ADORA1	5.652283078
ADORA2B	7.47987109
ADORA3	4.636691336
ADPRH	4.736513108
PARP1	9.721156445
PARP4	9.520432245
ADRA1D	4.794146545
ADRA1B	4.981654909
ADRA1A	3.78654719
ADRA2A	4.746650144
ADRA2B	5.665996808
ADRA2C	6.074846856
ADRB1	4.926908621
ADRB2	8.354427685
ADRB3	4.988641952
GRK2	6.097852791
GRK3	5.503696611
ADSL	10.41278377
ADSS2	9.412360847
AP2A2	7.803466537
AP1B1	7.522221971
AP2B1	9.40683075
AP1G1	8.643147341
AEBP1	5.863378484
TLE5	7.933118686
CRISP1	3.780538569
AFM	3.754431206
AFP	5.118817427
AGA	7.881165315
ACAN	5.511142765
AGER	4.645544773
AGL	8.554209279
AGRP	5.202220497
JAG1	10.36397361
AGT	5.141737199
AGTR1	5.048637511
AGTR2	4.062108434
APLNR	4.865853316
AGXT	4.450367972
NR0B1	4.416983121
AHCY	10.61539793
AHR	7.624224666
AHSG	4.65507903
AIF1	4.879304402
CRYBG1	7.543806431
AK1	8.23885693
AK2	8.110078174
AKT1	8.4979758
AKT2	6.059918986
ALAD	6.337021393
ALAS1	8.556062199
ALAS2	4.707839581
ALB	3.768277313
ALCAM	9.565396606
ABCD1	6.129924644
ALDH1A1	5.825064265
ALDH2	7.039953472
ALDH3A1	4.769046267
ALDH1B1	7.018730022
ALDH1A3	7.64724312
ALDH3B1	6.894628296
ALDH3B2	4.381591567
ALDH9A1	10.50947367
ALDH3A2	7.924684045
ABCD2	3.420829551
ALDOA	12.06849647
ALDOB	4.609994123
ALDOC	6.870086143
AKR1B1	11.66887954
ALK	4.769164991
ALOX12	4.519979293
ALOX5	5.140076555
ALOX5AP	7.60990421
ALOX12B	4.546871509
ALOX12P2	5.204991743
ALOX15	3.959787583
ALOX15B	5.016302369
ALPI	4.8613589
ALPL	4.369368525
ALPP	5.151246719
ALPG	5.589487119
ALX3	5.340484886
AMBN	4.82528474
AMBP	5.150316292
AMD1	9.536173988
AMELX	3.964421408
AMELY	4.685425779
AMFR	8.020889989
AMHR2	5.420782577
AMPD1	4.364416701
AMPD2	7.746276363
AMPD3	6.391825256
AMPH	4.54580567
BIN1	7.942612403
AMT	5.641268181
ANG	6.022539359
ANGPT1	4.798751265
ANGPT2	3.814639382
ANK1	4.846991924
ANK2	5.108678019
ANK3	4.950701049
ANPEP	6.300658974
SLC25A4	6.868585931
SLC25A5	12.61284461
ANXA1	10.48067693
ANXA2	12.11899296
ANXA2P1	7.082829682
ANXA2P3	6.916126456
ANXA3	9.870040546
ANXA4	10.30811232
ANXA5	12.05072009
ANXA6	6.414446196
ANXA7	10.77951676
ANXA11	9.154554082
ANXA13	5.175823215
AOAH	5.01098269
AOC2	5.12652222
AOX1	6.755638507
APAF1	7.548950281
NUDT2	7.644987453
APOF	3.835351109
APBA1	5.203149409
APBA2	5.813034121
APBB1	5.755846649
APBB2	7.639516234
APC	5.984514364
APCS	4.860537394
AIRE	5.556642649
APEH	8.816246019
APEX1	11.44791681
BIRC2	10.58979525
BIRC3	6.407286999
XIAP	7.802430776
BIRC5	9.731853195
APLP1	6.350351511
APLP2	9.17469318
APOA1	4.898477057
APOA2	4.610364725
APOA4	5.604103564
APOB	4.306103436
APOBEC1	4.547593835
APOC1	7.578510132
AQP8	4.95193885
APOC3	4.641750231
APOD	5.228633928
APOE	7.252287477
APOH	5.156588315
APP	10.1326413
APRT	9.714333905
KLK3	6.327866441
FAS	7.119306097
FASLG	4.378606892
SHROOM2	6.745960813
AQP1	5.092530029
AQP2	6.030248587
AQP3	6.117481646
AQP4	3.673454687
AQP5	4.92003671
AQP6	5.593216234
AQP9	5.65203894
AR	5.25763145
ARAF	7.753079362
ARCN1	10.25481712
TRIM23	6.874798278
AREG	8.149286792
ARF3	9.804271262
ARF4	11.47441277
ARL4D	7.066706436
ARF5	9.21612532
ARF6	9.500838657
ARG1	4.104782024
ARG2	6.027178373
RHOA	11.42279651
RHOB	9.471330035
RHOC	9.433675824
RND3	10.35102613
RHOG	8.758257865
ARHGAP1	6.721956541
ARHGAP4	6.37392969
ARHGAP5	7.355432988
ARHGAP6	4.124739057
ARHGDIA	7.997367115
ARHGDIB	7.183333937
ARHGDIG	5.509859367
RHOH	4.942481608
ARL1	9.071169363
PHOX2A	6.10803843
ARL2	8.808369183
ARL3	8.143019289
ARNT	6.919085593
BMAL1	8.306588515
ARR3	5.444964844
ARRB1	6.096977185
ARRB2	6.430732046
ARSA	6.502786526
ARSB	6.048101168
STS	6.314227185
ARSD	6.834118692
ARSL	6.263792495
ARSF	5.242692777
ART1	5.119279348
ART3	3.588587725
ART4	4.04364414
ARVCF	6.181457138
ASAH1	8.963465763
ASCL1	4.722392145
ASCL2	4.033223785
ASGR1	5.396611963
ASGR2	5.403315545
ASIP	4.473807248
ASL	9.19778696
ASMT	4.515080464
GET3	8.452495416
ASNS	9.534568518
ASPA	4.048306663
ASPH	9.627602231
ASS1	7.640540455
ASTN1	3.817146677
SERPINC1	4.265015487
ZFHX3	7.539741962
ATF1	8.395632934
ATF3	6.572713816
ATF4	11.29232091
ATIC	11.20049219
ATM	7.622019177
RERE	6.515446313
ATOH1	5.076622362
ATOX1	10.38698082
ATP1A1	9.945782209
ATP1A2	4.398506017
ATP12A	5.503966693
ATP1B1	11.96775127
ATP1B2	5.502576416
ATP1B3	10.36730915
FXYD2	6.040979144
ATP2A1	4.672373231
ATP2A2	10.06277236
ATP2A3	5.469213995
ATP2B1	8.223646021
ATP2B2	4.455731589
ATP2B3	4.336584561
ATP2B4	7.138868671
ATP4A	4.874005064
ATP4B	4.770556711
ATP5F1A	12.53318567
ALDH7A1	8.259236283
ATP5F1B	12.01712184
ATP5F1C	10.04425554
ATP5F1D	8.925844238
ATP5PB	8.775885475
ATP5MC1	9.860163155
ATP5MC2	9.641826832
ATP5MC3	10.04745585
ATP5ME	11.14313337
ATP5PF	11.04167563
ATP6V1A	9.973554396
ATP6V1B1	4.840387255
ATP6V1B2	9.402177251
ATP6V0C	10.12142443
ATP6V1C1	8.279961231
ATP6V1E1	10.24053228
ATP6V0B	9.937664662
ATP6V1G2	4.975736709
ATP6V0A1	7.409508832
ATP6AP1	9.746336354
ATP5PO	10.15587459
ATP7B	5.572984514
ATR	7.827030715
ATRX	7.106956152
KIF1A	4.905233831
AUH	7.902893907
AUP1	9.419550477
AVP	5.329140502
AVPR1A	4.095424938
AVPR1B	5.98127454
AVPR2	4.913246534
AXL	9.632316822
AZGP1	3.95587436
AZU1	4.445821742
B2M	11.0089322
BAAT	5.50383899
BACH1	7.376562336
BAD	7.98329834
BAG1	7.137742505
BAGE	4.679715066
ADGRB1	5.632055986
ADGRB2	5.459693118
ADGRB3	4.031412458
BAK1	7.394997123
NKX3-2	5.211709496
BARD1	8.42401039
BAX	8.043867902
BBS1	6.367037875
BBS4	7.302825307
BCAT1	8.165604233
BCAT2	8.225426081
BCHE	5.910116036
BCKDHA	8.250382354
BCKDHB	6.941875665
CCND1	9.537759816
BCL2	5.118413606
BCL2A1	5.9449573
BCL2L1	8.289048031
BCL2L2	7.354796866
BCL6	6.839020002
BCL7A	5.884222692
BCL9	6.802460573
TNFRSF17	4.056467779
HCN2	5.667818351
OPN1SW	4.511191128
BCR	6.9707572
BCS1L	8.702044988
BDH1	6.45832071
BDKRB1	5.516403084
BDKRB2	5.509715429
BDNF	7.008424136
CFB	4.471623765
BFSP1	6.265513628
BGN	5.297640245
CEACAM1	5.592747456
BHMT	4.465253158
BICD1	6.883660115
BID	8.398041183
BIK	7.048682216
PRDM1	5.889300238
BLK	4.750368813
BLM	7.910827109
BLMH	7.869357929
CXCR5	5.132668177
BLVRA	8.244202884
BLVRB	9.044803927
BNC1	5.307610716
BMP1	7.249699372
BMP2	7.402189381
BMP3	4.581974001
BMP4	6.199012977
BMP5	4.743598824
BMP6	6.707424624
BMP7	4.620800237
BMP8B	6.704111232
BMPR1A	7.717762281
BMPR1B	5.750216393
BMPR2	8.721384729
BMX	4.21255578
POLR3D	6.992997056
BNIP1	7.315084632
BNIP2	8.702776875
BNIP3	10.67775949
BNIP3L	10.56351702
DST	6.181823494
FOXL2	5.157107138
BPGM	8.385175169
BPHL	7.663594821
BRCA1	7.822145675
BRCA2	5.85269914
BRDT	4.420133432
ZFP36L1	9.96211153
ZFP36L2	9.894647218
BRS3	4.197215017
BSG	9.07502341
BST1	5.06142716
BST2	6.260941567
BTC	4.730693338
BTD	6.514261718
KLF9	5.827264836
KLF5	7.515551741
BTF3	11.61359728
BTG1	9.992396611
BTK	4.940144854
BTN1A1	4.487903421
BUB1	7.975728187
BUB1B	9.588062458
BYSL	9.083374954
TSPO	10.51179936
C1QBP	11.39253342
SERPING1	4.807755353
C1QA	4.689231947
C1QB	4.401912288
C1R	5.810786815
C1S	4.717262994
C2	4.684575392
C3	6.996751322
C3AR1	5.315981517
C4BPA	5.755626872
C4BPB	5.368877893
CAPN5	6.118391692
C5	5.727936401
C5AR1	4.152170643
C6	4.440670908
C7	4.034137567
C8A	4.435793046
C8B	4.629779928
C8G	4.756641412
OSGIN2	7.749752951
C9	3.843791147
VPS51	9.456922082
MRPL49	9.963011212
ZNHIT2	6.281800667
MPPED2	3.763727137
MYRF	6.549700718
TMEM258	11.80718295
DAGLA	5.58108072
GAS8-AS1	4.560059872
FMNL1	5.583136562
LDLRAD4	5.79768271
PTTG1IP	11.70822579
CFAP410	5.699487033
TMEM50B	7.556644078
MPPED1	5.167800147
CA1	4.552605732
CA2	6.127501169
CA3	3.695197539
CA4	4.757729254
CA5A	4.829571188
CA6	4.166465925
CA7	5.604484056
CA8	5.193093152
CA9	5.936898122
CA11	5.509475402
CA12	7.93652178
CACNA1B	4.734362728
CACNA1C	4.279619323
CACNA1D	4.745986968
CACNA1E	4.95139609
CACNA1F	5.185381243
CACNA1S	5.169733702
CACNA2D1	6.237511052
CACNB1	5.2313295
CACNB2	4.043943465
CACNB3	7.3231823
CACNB4	4.579386927
CACNG1	5.365015967
SLC25A20	7.052780573
CAD	8.514766573
CALB1	3.626887352
CALB2	5.991253696
S100G	4.176526764
CALCA	4.861780117
CALCR	4.551377817
CALD1	7.850455091
CALM1	8.170029955
CALML3	5.286051246
CALR	8.528857029
CALU	10.56073326
CAMK4	5.241343635
CAMK2A	4.981358567
CAMK2B	5.269630774
CAMK2G	7.170101887
CAMLG	9.61582742
CAMP	5.547538581
CANX	9.496231169
CAPG	9.282302176
CAPN1	7.534144344
CAPN2	9.931347105
CAPN3	4.286843766
CAPNS1	10.9525798
CAPZA1	8.878382955
CAPZA2	9.829961915
CAST	9.123322567
CAPZB	10.31970728
CARS1	8.338128204
CASP1	5.342815066
CASP2	6.454098808
CASP3	8.933325314
CASP4	6.61224519
CASP5	4.577589397
CASP6	8.779830466
CASP7	8.355552779
CASP8	7.556212554
CASP9	7.137952829
CASP10	5.506793655
CASQ1	4.173304451
CASQ2	4.736971119
CASR	4.759465859
CAT	9.176819025
CAV1	11.85317947
CAV2	10.25982674
CAV3	6.021082674
RUNX2	6.873294758
RUNX1T1	4.205343847
CBFA2T3	4.206552163
RUNX3	4.930953326
CBFB	8.904981421
SERPINA6	5.290374737
CBL	7.645398446
CBLB	6.536325189
CBLN1	4.354140654
SERPINH1	9.516460948
CBR1	8.784997094
CBR3	7.727291072
CBS	6.729957917
CCIN	5.293213897
KYAT1	6.332771986
CCK	5.06484109
CCKAR	5.050942835
CCKBR	4.398876491
KRIT1	6.691670712
CCNA2	9.615657834
CCNB1	10.56739467
CCNC	9.434955817
CCND2	6.202604517
CCND3	9.236280897
CCNE1	8.098356337
CCNF	7.106425645
CCNG1	10.46902663
CCNG2	9.071028234
CCNH	9.604156054
CCNT1	7.341068027
CCNT2	7.478118969
CCT6A	10.77928314
CD1A	5.201808996
CD1B	4.349737882
CD1C	5.423038302
CD1D	3.74531281
CD1E	4.892345585
CD2	5.137163062
CD3D	5.118192846
CD3E	5.508000643
CD3G	4.575498894
CD247	4.627385232
CD4	4.920203989
CD5	5.299907854
CD5L	4.787133705
CD6	5.639636125
CD7	4.924027335
CD8A	5.182816803
CD9	8.67560707
CD14	4.773520352
CD19	4.788059366
MS4A1	4.181348109
MS4A3	3.94443107
CD22	4.911770107
CD27	5.120445619
CD28	3.915661341
CD80	4.307284908
CD86	4.72630026
TNFRSF8	5.263021454
TNFSF8	4.667090198
CD33	4.685943736
SIGLEC6	4.712728555
CD34	5.805438728
CD36	4.060981522
SCARB1	7.241474969
SCARB2	8.262041987
CD37	4.354858338
CD38	5.550262978
ENTPD1	4.516720645
ENTPD2	5.469198616
ENTPD6	8.080109365
ENTPD3	3.977777488
ENTPD5	5.765166818
CD40	6.290832957
CD40LG	5.248883979
CD44	9.504131936
CD47	9.239795601
CD48	5.074193028
CD53	4.948381219
CD58	8.71782184
CD59	10.95096983
CD63	12.34415787
CD69	3.643946785
CD70	7.642733151
CD72	4.407465838
CD74	6.082085358
CD79A	5.814726246
CD79B	5.245148349
CD81	11.05215957
ADGRE5	8.083041122
CD151	9.083905403
CDA	8.156006743
CDK1	9.81429906
LRBA	8.253267448
CDC5L	9.231041655
SEPTIN7	9.218892815
CDC6	8.403819498
CDC20	11.11297163
CDC25A	6.810186546
CDC25B	9.560239768
CDC25C	7.407271115
CDC27	8.430938232
CDC34	8.191554154
CDC42	9.573910261
CDH1	6.668056128
CDH2	9.549585052
CDH3	7.377145417
CDH4	6.28496248
CDH5	4.171108617
CDH6	5.582745732
CDH7	4.525685943
CDH8	4.104108829
CDH9	4.028388613
CDH10	4.281700682
CDH11	8.086634409
CDH12	3.776236658
CDH13	4.80316924
CDH15	5.297851234
CDH16	4.958631349
CDH17	5.15414134
CDH18	5.078314789
CDK2	8.421660935
CDK4	11.38324972
CDK5	8.813245822
CDK6	8.098118877
CDK7	9.629134672
CDK8	7.676378681
CDK9	7.794188763
CDKN1A	9.427416348
CDKN1B	9.320959102
CDKN1C	6.850684052
