Drug,Sensitive Pathways,Up/Down Regulation,Indication/Contraindication,reasoning ,Citations
Alpelisib,PI3K/AKT/mTOR signaling (GO:0043491),Up,sensitive,"High – Alpelisib is most effective in tumors with an active PI3K pathway due to activating PIK3CA mutationsdovepress.comonclive.com. Clinical trials (SOLAR-1) showed significantly improved PFS in PIK3CA-mutant HR+ breast cancers, whereas PIK3CA wild-type cases saw no benefitonclive.comonclive.com.","André et al., 2019; PMID: 31091374; DOI: 10.1056/NEJMoa1813904; https://pubmed.ncbi.nlm.nih.gov/31091374/; Razavi et al., 2020; PMID: 32864625; DOI: 10.1038/s43018-020-0047-1; https://pubmed.ncbi.nlm.nih.gov/32864625/"
Alpelisib,PI3K pathway (double PIK3CA mutations) (GO:0043491),Up,sensitive,"Moderate – Tumors harboring multiple PIK3CA hotspot mutations in cis have markedly increased PI3K pathway signaling and show higher response rates to PI3K? inhibitorsdovepress.comonclive.com. In a trial, patients with double PIK3CA-mutant tumors had an ORR ~30% on a PI3K inhibitor, vs ~18% for single mutantsdovepress.com. This suggests double mutations confer increased drug sensitivitydovepress.com.","Vasan et al., 2019; PMID: 31699932; DOI: 10.1126/science.aaw9032; https://pubmed.ncbi.nlm.nih.gov/31699932/"
Alpelisib,Estrogen receptor (ER) signaling (GO:0030520),Up,sensitive,"Moderate – Active ER signaling (HR+ status with wild-type ESR1) defines the context in which Alpelisib is used. ER-driven tumors with intact estrogen signaling rely on PI3K for growth crosstalk, and combining Alpelisib with endocrine therapy is effectivepubmed.ncbi.nlm.nih.govdovepress.com. In contrast, tumors lacking ER activity (triple-negative) are not indicated for Alpelisib. The absence of ESR1 mutations (which cause ER independence) is associated with better responsedovepress.com.","Razavi et al., 2020; PMID: 32864625; DOI: 10.1038/s43018-020-0047-1; https://pubmed.ncbi.nlm.nih.gov/32864625/"
Alpelisib,RAS/RAF–MEK/ERK (MAPK) pathway (KEGG hsa04010),Down,sensitive,"Moderate – Lack of MAPK pathway activation (no RAS or BRAF oncogenic activity) leaves the PI3K pathway as the dominant survival route. Preclinical models show PI3K inhibitors are more efficacious when RAS/MAPK signaling is not driving growthmdpi.com. Conversely, co-activation of RAS–ERK can limit the response to PI3K/AKT inhibitorsmdpi.com, so its absence predicts greater sensitivity.","Browne & Okines, 2024; PMID: 38927964; DOI: 10.3390/cancers16122259; https://pubmed.ncbi.nlm.nih.gov/38927964/"
Alpelisib,PI3K signaling (p110? activation via PTEN loss) (GO:0043491),Up,Resistance,"High – Loss of the tumor suppressor PTEN (negative regulator of PI3K) is a validated mechanism of resistance to p110? inhibitorsdovepress.commdpi.com. PTEN loss directs signaling through the PI3K? isoform, which Alpelisib does not effectively inhibitmdpi.com. In patients, acquired PTEN mutations were found in ~25% of Alpelisib-resistant tumors, all with rapid progressiondovepress.com. PTEN-intact tumors remain dependent on PI3K?, whereas PTEN-deficient tumors bypass the drug via p110?mdpi.com.","Razavi et al., 2020; PMID: 32864625; DOI: 10.1038/s43018-020-0047-1; https://pubmed.ncbi.nlm.nih.gov/32864625/; Browne & Okines, 2024; PMID: 38927964; DOI: 10.3390/cancers16122259; https://pubmed.ncbi.nlm.nih.gov/38927964/"
Alpelisib,RAS/RAF–MEK/ERK (MAPK) pathway (KEGG hsa04010),Up,Resistance,"Moderate – Upregulation of the RAS–MAPK pathway provides an alternate proliferative signal that diminishes reliance on PI3K signalingmdpi.com. For example, oncogenic KRAS can drive AKT-independent growth; PI3K? inhibitors show limited effect in tumors co-driven by mutant RASmdpi.com. Clinically, concurrent RAS pathway activation is associated with poor response to PI3K inhibitors, often necessitating combination therapies to overcome pathway redundancy.","Browne & Okines, 2024; PMID: 38927964; DOI: 10.3390/cancers16122259; https://pubmed.ncbi.nlm.nih.gov/38927964/"
Alpelisib,Receptor tyrosine kinase signaling (IGF?1R/Insulin) (GO:0008286),Up,Resistance,"Moderate – PI3K inhibition can relieve feedback suppression of receptor tyrosine kinases (RTKs), causing hyperactivation of insulin receptor/IGF-1R and HER3 signalingmdpi.commdpi.com. This RTK upregulation sustains downstream PI3K/AKT and also triggers RAS/ERK pathways, blunting Alpelisib’s effectmdpi.com. Tumor cells with high insulin/IGF signaling (e.g. due to therapy-induced hyperglycemia or intrinsic IGF1R overexpression) can reactivate the PI3K pathway despite Alpelisib, leading to resistance. This provides a rationale for combining IGF1R or growth factor inhibitors with Alpelisib in resistant casesmdpi.com.","Chandarlapaty et al., 2011; PMID: 21725297; DOI: 10.1158/2159-8290.CD-11-0098; https://pubmed.ncbi.nlm.nih.gov/21725297/; Browne & Okines, 2024; PMID: 38927964; DOI: 10.3390/cancers16122259; https://pubmed.ncbi.nlm.nih.gov/38927964/"
Alpelisib,Estrogen receptor signaling (GO:0030520),Up,Resistance,"Moderate – ESR1 mutations that constitutively activate the ER pathway drive resistance to combined Alpelisib–endocrine therapydovepress.com. Even with PI3K inhibited, constitutively active ER signaling (due to mutations like Y537S or D538G in ER?) continues to fuel tumor growth, negating the benefit of Alpelisib. In a clinical study, emergent ESR1 mutations were associated with rapid progression on Alpelisib plus aromatase inhibitordovepress.com. Thus, ER pathway activation in a hormone-independent manner (or ER-negative status) predicts poor response to Alpelisib.","Razavi et al., 2020; PMID: 32864625; DOI: 10.1038/s43018-020-0047-1; https://pubmed.ncbi.nlm.nih.gov/32864625/"
Alpelisib,mTORC1 signaling (KEGG hsa04150),Up,Resistance,"Moderate – Hyperactivation of mTORC1 (mTOR complex 1) downstream of PI3K is a common driver of resistance to Alpelisibnature.com. Persistent mTORC1 activity can maintain protein synthesis and survival signals even when PI3K is inhibited. A recent study found that Alpelisib-resistant breast cancer cells often have elevated mTORC1 signaling (high phospho-S6K/4EBP1)nature.com. This not only promotes PI3K-independent growth but also suppresses autophagy, creating metabolic vulnerabilitiesnature.com. Clinically, tumors with high mTORC1 activity (e.g. due to loss of negative regulators like TSC1/2 or PIK3CA amplification) tend to be less responsive to Alpelisib, indicating that dual PI3K/mTOR inhibition or metabolic therapies may be requirednature.com.","Gremke et al., 2025; PMID: 40113784; DOI: 10.1038/s41392-025-02180-4; https://pubmed.ncbi.nlm.nih.gov/40113784/"
Doxorubicin,p53 signaling pathway (KEGG:hsa04115),Up,sensitive,"Moderate. Functional p53 mediates DNA-damage apoptosis. Anthracycline-sensitive breast tumors often show enrichment of p53 pathway genesmdpi.com, and intact p53 leads to proper cell-cycle arrest and cell deathbmccancer.biomedcentral.compubmed.ncbi.nlm.nih.gov.","Fu et al., 2021 (PMID:34489950; DOI:10.3389/fimmu.2021.704655; [PubMed]mdpi.com); Rahko et al., 2003 (PMID:12751374; DOI:10.1016/S0959-8049(02)00499-9; [PubMed]pubmed.ncbi.nlm.nih.gov)"
